stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,25,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,2,0,0,0,0,12,0,0,0,0,1,0
 24-34,0,0,0,0.82,130.52,0,2.46,3.28,0,0,0,0,31.19,1.64,0,1.64,0,0,1.64,4.1,0,0.82,16.42,0,3.28,0,0,169.1,0,2.46,0,0,0,0
 36-46,0,0,0,0,102.32,0,0,10.47,0,0.81,0,0,37.06,2.42,0,0.81,0.81,0,1.61,3.22,0,0,10.47,0,4.03,0,0,162.75,0,0.81,0,0,0.81,0
 48-58,0,0,0,0,124.52,0,10.33,26.4,0.57,2.87,1.15,0.57,45.9,0.57,0,1.15,0,0.57,2.3,2.3,0,0.57,14.92,0,0.57,0,0,118.78,0,4.59,0,0,1.15,0.57
 60-70,0,0,0,0,149.19,0,3.93,27.48,0.98,4.91,0.98,0,52.02,2.94,0,0.98,0,0,3.93,7.85,0,0,6.87,0,0.98,0,0,148.21,0,0.98,0,0,1.96,0.98
 72-82,0,0,0,0,187.5,1.96,4.91,31.41,0.98,9.82,0,0,67.73,6.87,0.98,5.89,0,0,3.93,13.74,0,0,16.69,0,1.96,0,0,134.49,0,0,1.96,0.98,3.93,0.98
 84-94,0,0,0,0,372.78,0,9.56,64.78,4.25,15.93,2.12,1.06,110.45,24.43,0,1.06,1.06,0,2.12,10.62,1.06,0,3.19,0,8.5,0,0,331.36,3.19,0,6.37,0,2.12,0
 96-106,0,0,1.09,0,405.45,1.09,7.65,54.64,7.65,17.49,0,0,114.75,20.76,0,5.46,2.19,0,5.46,16.39,0,0,14.21,0,16.39,0,0,249.17,0,0,5.46,0,6.56,1.09
108-118,0,0,0,0,421.28,0.77,3.06,90.38,5.36,22.21,0,0.77,84.26,21.45,0,6.13,3.06,0,0.77,13.79,0,0,16.09,0.77,8.43,1.53,0.77,206.81,0,0.77,6.13,0,6.89,0
120,0,0,0,0,292.01,1.96,1.96,74.47,0,27.44,0,0,117.59,19.6,0,7.84,1.96,0,3.92,7.84,0,0,11.76,0,3.92,1.96,0,223.42,3.92,0,0,0,3.92,0
