stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,6.13,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,18.39,0,0,0,0,0,0
  7-9,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,39.43,5.26,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,6.29,0,0,0,0,0,0,0,0,0,0,56.65,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,0,3.28,0,0,0,9.03,0,0,0.82,0,1.64,0,2.46,0,0.82,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0,0,4.03,0.81,0,0,0,0,0,0.81,0,0,0,0.81
 48-58,0,0,0,0,2.3,0.57,0.57,0,0,0,0,1.15,0,0,0.57,7.46,0,0.57,0,0,0.57,0.57,1.15,0,0.57,0,0
 60-70,0,0,0.98,0,3.93,0,2.94,0,0.98,0,0,1.96,0,0,0,4.91,0,0,0,0,0.98,0,1.96,0.98,0,0,0
 72-82,0,0,1.96,1.96,5.89,0,1.96,0,0.98,0,0,1.96,0,0,0,5.89,0,0,0,0,0.98,0,1.96,0,0,0,0
 84-94,0,0,1.06,1.06,2.12,0,0,0,2.12,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,1.09,0,3.28,3.28,2.19,0,1.09,3.28,0,1.09,0,1.09,0,2.19,0,0,6.56,1.09,2.19,1.09,0,0,1.09
108-118,0,0,1.53,0,0,0.77,0.77,0,0,2.3,0,0,0,0,0,3.83,0,0,0,0,2.3,0,0,0,0,0.77,0
120,0,0,1.96,0,0,0,0,1.96,0,0,0,0,1.96,0,1.96,3.92,1.96,0,0,0,3.92,0,0,0,0,0,1.96
