stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,0,0
 24-34,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,30.37,0.82,0,0,0.82,0.82,17.24,0,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0.81,0,81.37,2.42,0,0,0,0,29.81,0,0,0,0
 48-58,0,0,0,0,0,11.48,0,0,2.87,0,0.57,0,0,0,2.3,0,0,0,119.35,1.72,0,0,0.57,0,35.58,0,0,0,0
 60-70,0,0,0,0.98,0,47.11,0,0,1.96,0,0,0,0,0,1.96,0,0,0.98,221.82,1.96,0,0,0,0,36.32,0,0,0,0
 72-82,0,0,0,0.98,1.96,92.28,0.98,0,5.89,0,0,0,0,0,5.89,0,0,0.98,343.58,2.94,1.96,0,0.98,0,34.36,0,0.98,0,0
 84-94,0,0,0,4.25,1.06,64.78,0,1.06,8.5,0,0,0,0,0,7.43,2.12,1.06,1.06,165.68,0,0,0,0,0,27.61,0,2.12,1.06,0
 96-106,0,0,1.09,3.28,1.09,79.78,0,0,22.95,0,0,1.09,2.19,1.09,9.84,0,0,2.19,218.57,2.19,0,0,3.28,0,20.76,0,2.19,0,1.09
108-118,0,0,0.77,2.3,0,85.79,0,0,22.98,0,0,0,2.3,0,6.89,0,0,0.77,212.94,3.83,0,0,0,0,16.85,1.53,0,0.77,0
120,0,0,0,1.96,3.92,96.03,0,0,45.08,3.92,0,0,0,0,5.88,0,1.96,1.96,362.56,0,0,0,1.96,0,37.24,0,3.92,0,0
