stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,gut,ionocyte,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,0,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,5.26,7.89,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,1.64,0,0.82,1.64,3.28,0,0,13.95,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,5.64,0.81,0,8.06,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,0.57,0,0,0,0,0,0,0,0,0,6.89,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,5.89,0.98,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0.98,0,0,1.96,0,0,2.94,0,0.98,0.98,0
 84-94,0,0,0,0,3.19,0,0,0,0,3.19,1.06,0,0,0,0,0,25.49,0,0,0,1.06
 96-106,0,0,0,0,5.46,0,0,0,1.09,0,0,0,0,0,0,0,18.58,0,0,0,0
108-118,0,0,0.77,0,3.06,0,0,0.77,0.77,1.53,0,0.77,0,3.06,0.77,0,6.89,0,0,0,0
120,0,0,0,0,3.92,0,0,0,1.96,1.96,0,0,0,0,0,0,7.84,0,1.96,0,0
