stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,803.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,337.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,12.26,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,5.26,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,47.32,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,9.44,0,0,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,7,1,0,0,0,0,0,0,2,2,0,0,0,0,1,0,11,0,0,9,5,49,0,0,1,0,1,0,0,29,7,62,0,0,0,0,0
 24-34,0,0,0,1.64,0.82,0,0,0,0,0,0,0,0,0,0.82,2.46,0,0,2.46,0,13.13,0,0.82,5.75,4.93,19.7,0,0,0,0,1.64,0,0,4.93,0,27.91,0,0,0,0,0
 36-46,0,0,0,1.61,0.81,0,0,0.81,0,0,0,0,2.42,0,0,0,0,0,1.61,0.81,0,0,0.81,0,2.42,8.06,0,0,0,0,0,0,0,4.03,0,7.25,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.15,0,0,0,0.57,1.72,0,0,0,0,0,14.35,0,0.57,0,0.57,0,2.87,4.02,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,3.93,0,0,0,0.98,4.91,0,0,0,0,0,41.22,0,0,0,0.98,0,10.8,4.91,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,1.96
 72-82,0,0,3.93,0,0,0,0.98,11.78,0,0,0,4.91,24.54,0,0,0,0,0,140.38,0,5.89,0.98,0.98,0,18.65,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0
 84-94,0,0,1.06,0,1.06,4.25,1.06,4.25,0,1.06,0,1.06,36.11,0,0,0,0,0,478.98,0,6.37,0,0,0,23.36,4.25,0,0,0,0,9.56,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,2.19,0,2.19,6.56,0,12.02,0,1.09,0,4.37,31.69,0,2.19,2.19,1.09,0,742.04,1.09,10.93,0,1.09,1.09,100.54,1.09,0,1.09,0,2.19,10.93,0,0,0,0,1.09,3.28,0,3.28,3.28,1.09
108-118,0,0,0,0,3.83,3.06,3.06,16.09,2.3,1.53,0.77,3.06,26.81,0,1.53,1.53,0,1.53,1451.5,0.77,12.26,0,0.77,2.3,88.09,0.77,1.53,0,0,0,6.13,0,1.53,0,0,0,0,1.53,3.06,0.77,0
120,0,0,0,0,7.84,5.88,1.96,3.92,0,0,0,7.84,17.64,0,0,0,0,0,736.88,0,5.88,0,0,1.96,72.51,1.96,1.96,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,1.96
