stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,1,1,8,7,7,0,0,4,3,0,0,0,0,0,0,0,0,4,0,2,64,1,4,0,2,0,0,8,66,0,1,56,0,0,0,0
 24-34,0,0,3.28,2.46,3.28,0,4.93,0,0.82,5.75,5.75,0,0,0,0,0,1.64,0,0.82,3.28,0,2.46,119.02,0,13.13,4.93,0,0,0.82,0,26.27,0,6.57,36.12,0,0,0,0
 36-46,0,0,0,0,0,0,38.67,0,0,6.45,0,0,0,0,0.81,0,2.42,0,0,12.09,0,2.42,199.81,0.81,10.47,3.22,0,0,0,0,12.09,0,0,40.28,0,0,0,0
 48-58,0,0,0.57,0,0.57,0.57,48.2,0,0,9.75,0,0,0.57,0,0,0,0,0,0.57,15.49,0,1.72,130.25,0,8.61,4.59,0,0,0,0,5.74,0.57,0,24.67,0,1.15,0,1.15
 60-70,0,0,1.96,0,2.94,0,24.54,0,0.98,9.82,0.98,0,0,0,0,0,0.98,0,0,9.82,0,2.94,88.34,0,9.82,1.96,0,0,0,0,2.94,0,0,13.74,0.98,1.96,0,0
 72-82,0,0,2.94,0,1.96,0.98,31.41,0,0.98,17.67,7.85,0,0,0,0,0.98,0,0,0,18.65,0,2.94,80.5,0,18.65,9.82,0,0.98,0,0,2.94,0,0,11.78,2.94,2.94,0,0
 84-94,0,0,2.12,0,5.31,0,28.68,0,0,10.62,2.12,1.06,0,3.19,0,1.06,5.31,0,0,10.62,1.06,3.19,49.92,0,7.43,13.81,0,0,0,0,10.62,0,0,9.56,9.56,0,0,0
 96-106,0,0,1.09,0,7.65,1.09,6.56,0,0,4.37,5.46,0,0,0,0,1.09,3.28,0,0,4.37,0,1.09,28.41,0,22.95,21.86,0,0,0,0,6.56,0,0,2.19,19.67,1.09,0,0
108-118,0,0,1.53,0.77,6.89,0.77,13.02,1.53,0.77,9.96,3.06,0,0,3.83,1.53,0.77,0.77,0.77,0,6.13,0,1.53,51.32,0,11.49,17.62,0,0,1.53,0,8.43,0,0,3.06,6.13,0.77,0.77,1.53
120,0,0,0,0,1.96,1.96,11.76,0,0,5.88,0,0,0,1.96,1.96,0,1.96,1.96,0,0,0,0,29.4,0,7.84,21.56,0,0,0,0,5.88,0,0,7.84,3.92,0,0,0
