stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,presomitic_mesoderm,spinal_cord,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,2,3,1,0,2,0,0,0,1,6,0,1,8,0,1,1,0,2,5,0
 24-34,0.82,0,0.82,0,0.82,0,0.82,0,0,0,0,0.82,4.1,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,1.15,0,0,1.15,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,1.96,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.98,0,0.98,0,0.98,0,0.98,0,0,0,0,0,0
 84-94,0,0,2.12,1.06,0,1.06,0,1.06,0,1.06,1.06,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,3.28,1.09,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0.77
120,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
