stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,55.2,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.73,3.15,0,0,31.47,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,25,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,9,0,0,11,122,1,2,0,4,2,10,1,2,6,36,0,2,0,0
 24-34,0,0,0,5.75,0,7.39,0,0,0,1.64,0,0,0,0,0.82,0,0.82,0,0,4.93,0,0,3.28,74.7,0.82,2.46,1.64,0,3.28,0,0,0,0.82,25.45,0,0,0,0
 36-46,0,1.61,0,3.22,0,6.45,0,0,0,8.86,0,0,0.81,0.81,0.81,0,0,0.81,0,11.28,0,0.81,4.03,83.79,0,6.45,1.61,0,1.61,0,3.22,0,0,29,0,0,0,0
 48-58,0,0,0,0.57,0,9.75,0,1.72,0,17.21,0,0,0,0,0,0.57,0.57,0,0.57,6.89,0,0.57,1.15,47.63,0,2.87,1.15,0,1.15,0,0.57,0,0,14.35,0,0,0,0
 60-70,0,0,0,1.96,0,30.43,0,0,0.98,16.69,0,0,0,0,0.98,0,0.98,0,0,18.65,0.98,0.98,0.98,54.97,0,3.93,0,0,1.96,0,0.98,0,0,4.91,0.98,0,0,0.98
 72-82,0,0,0,1.96,2.94,48.1,0,1.96,0,9.82,0,0,0,0.98,1.96,0,1.96,0,0,30.43,0,0,0,57.92,0,10.8,0.98,0,0.98,0,0,0,0,5.89,0,2.94,0,0
 84-94,0,0,0,4.25,4.25,37.17,0,0,1.06,26.55,1.06,1.06,1.06,0,3.19,0,0,0,1.06,19.12,2.12,1.06,0,30.8,0,4.25,1.06,0,10.62,0,0,0,0,5.31,1.06,4.25,1.06,0
 96-106,0,1.09,0,3.28,3.28,37.16,1.09,2.19,0,12.02,0,0,0,0,5.46,0,3.28,0,0,12.02,0,2.19,1.09,37.16,0,7.65,4.37,0,10.93,0,1.09,0,0,0,0,5.46,2.19,0
108-118,0,0.77,0,6.13,0.77,28.34,0,3.06,2.3,15.32,1.53,0,0.77,1.53,3.06,0.77,0.77,0.77,0.77,19.15,0,0,0.77,39.83,0.77,8.43,3.83,0,13.02,0,0,0,0,3.06,0.77,3.06,0,0
120,0,0,0,3.92,0,25.48,0,1.96,0,13.72,9.8,0,0,1.96,5.88,0,0,1.96,0,17.64,1.96,0,3.92,54.87,0,1.96,1.96,0,19.6,0,0,0,0,1.96,1.96,7.84,0,0
