stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,1,0,1,0,24,3,1,0,0,0,1,0,0,4,0,8,13,0,2,0,4,0,8,0,7,9,0,0
 24-34,0,0,0,0,0.82,0,2.46,0,0,0,0,17.24,2.46,4.1,0,4.93,15.6,0,0,0,0,0.82,0,0.82,0,4.93,0,0
 36-46,0,0,0,0,0,0.81,0.81,1.61,0.81,0.81,0,17.72,0,4.83,0.81,4.03,31.42,0,0,0,0,0,0,0,0,6.45,0,0
 48-58,0,0,0,0.57,0,0,2.87,0,0.57,0.57,0,22.38,0,4.59,0.57,0.57,22.95,0,0,0,0,0,0,0,0,2.3,0,0
 60-70,0,0,0,0,0.98,0.98,2.94,0,0,0.98,0,28.46,0,4.91,0.98,0.98,42.21,0,0,0.98,0,0,0,0,0,4.91,0.98,0
 72-82,0,0,0,0,0.98,0,10.8,0,0,5.89,0,41.23,0,2.94,0,0,20.61,0,0,0.98,0,0,0,0,0,1.96,0.98,0.98
 84-94,0,0,0,0,1.06,1.06,4.25,0,0,4.25,0,58.41,0,4.25,1.06,1.06,12.74,0,0,0,0,0,0,0,0,1.06,3.19,0
 96-106,0,0,0,0,0,0,8.74,0,1.09,8.74,0,84.15,0,4.37,0,1.09,18.58,0,1.09,1.09,0,1.09,0,0,0,0,2.19,0
108-118,0,0,0,0,0,0,0.77,0,0.77,6.13,0.77,79.66,0.77,0.77,0,0.77,17.62,0,0,1.53,0,0,0,0,0,0.77,0.77,0.77
120,0,0,0,0,0,0,3.92,0,0,1.96,0,78.39,0,0,0,1.96,17.64,0,0,0,0,0,0,0,0,0,1.96,0
