stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,8,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,4,8,0,0,3,0,0
 24-34,0,0,1.64,4.1,0,1.64,6.57,0,0,1.64,0,1.64,0,0,0,0,1.64,0.82,0,0.82,85.37,0,0,0,0,0,1.64,0,0,0,0,0.82,28.73,0,0,34.48,0,0
 36-46,0,0,0,0.81,0,0.81,0,3.22,0,0,0,0,0,0,0,0.81,1.61,0,0,0.81,119.24,0.81,0,0,0,0,0.81,0,0,0,0,0,27.39,0,0,25.78,0,0
 48-58,0,0,1.72,2.87,0.57,15.49,0,3.44,0,2.87,0,0,0,0,0,3.44,4.59,0,0,0,108.45,0,0,0.57,0,0,2.87,0,0,0,0,0,19.51,0,0,18.94,0,0
 60-70,0,0,0.98,5.89,0,35.33,0.98,5.89,0,1.96,0,0,0,0,0,3.93,3.93,0,0.98,0,151.15,0,0,0,0,0,0.98,0,0,0,0.98,0,3.93,0.98,0,15.7,0,2.94
 72-82,0,0,6.87,17.67,0,53.01,0.98,19.63,2.94,5.89,0,0,0.98,0,0,4.91,20.61,0,0.98,0,224.8,0,0.98,0,0,0.98,0,0.98,0,0,0,0,8.83,4.91,0.98,41.23,1.96,5.89
 84-94,0,0,3.19,14.87,1.06,38.23,2.12,15.93,2.12,0,1.06,5.31,1.06,0,1.06,8.5,7.43,0,0,0,151.87,0,0,0,0,0,3.19,0,0,0,0,0,3.19,1.06,0,23.36,4.25,6.37
 96-106,0,0,5.46,14.21,3.28,33.88,0,10.93,5.46,4.37,0,0,0,1.09,3.28,3.28,6.56,1.09,1.09,0,136.61,0,0,0,0,0,6.56,2.19,0,0,0,0,4.37,2.19,0,27.32,2.19,5.46
108-118,0,0,3.06,14.55,0,29.11,0.77,20.68,2.3,2.3,0.77,0.77,1.53,0,0.77,9.96,4.6,0,0,0,162.38,0,0,0,0,0.77,3.83,0,0,0.77,0,0,1.53,1.53,0.77,30.64,0.77,9.19
120,0,0,0,9.8,0,29.4,0,5.88,0,1.96,0,0,0,0,0,5.88,3.92,0,0,0,158.74,0,0,0,1.96,0,3.92,0,0,0,0,0,7.84,1.96,0,27.44,0,7.84
