stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,1,7,0,0,0,0,0
 24-34,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0.82,0,1.64,112.46,2.46,1.64,1.64,0,0,0,0.82,40.22,0,0,0.82,0,0
 36-46,0,0,0,5.64,0,0,0,4.83,0,0,0,0,0,0.81,0,0,0,0.81,277.15,0.81,3.22,0,0,0,0,0,41.09,0,0,0,0,0
 48-58,0,1.15,0,26.97,0.57,0,0,8.03,0,0,0,0,0,0.57,0,10.9,0,0.57,285.75,0,1.15,0.57,1.15,0.57,0.57,0,53.94,0,0,0,0,0
 60-70,0,0,0,106.99,0,0,0,20.61,0,1.96,0,0,0,0.98,0,13.74,0,0,469.17,0.98,0,1.96,0,0,0,0,69.69,0,0,0,0,1.96
 72-82,0,4.91,0,175.72,0,0.98,1.96,27.49,0,0,0.98,0,0,1.96,0,37.3,0.98,0.98,550.71,0.98,2.94,4.91,0.98,0,0,0,42.21,1.96,0.98,0,2.94,0.98
 84-94,0,1.06,0,87.09,0,0,0,16.99,1.06,1.06,1.06,0,1.06,1.06,1.06,20.18,1.06,0,203.91,1.06,1.06,8.5,0,0,0,0,20.18,0,0,1.06,4.25,0
 96-106,1.09,2.19,1.09,34.97,0,0,2.19,18.58,0,0,0,0,0,2.19,0,22.95,0,1.09,128.96,1.09,3.28,2.19,0,0,0,0,6.56,0,1.09,1.09,0,0
108-118,0.77,1.53,0,35.23,0,0,0.77,5.36,0.77,0,0,0.77,0,2.3,0.77,11.49,0.77,0,172.34,0.77,0.77,6.13,0.77,0,0,0,5.36,0,0,1.53,0.77,1.53
120,0,9.8,0,56.83,0,0,1.96,17.64,0,0,5.88,0,0,1.96,0,25.48,1.96,3.92,215.58,1.96,1.96,3.92,1.96,0,0,0,7.84,0,0,1.96,1.96,0
