stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,iridophores,mesenchyme,muscle,neural,olfactory,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,2.63,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.64,53.36,2.46,0,11.49,0,0,0,0
 36-46,0,0,3.22,0,0,0,0,2.42,0,180.47,1.61,0,30.62,0,0,0,0
 48-58,0.57,0,11.48,0.57,2.3,0,0,0,0.57,269.11,1.15,0,57.38,0,0,1.15,0
 60-70,1.96,0,36.32,0,0.98,0.98,0,1.96,0,345.5,0.98,0,61.84,0,0,0,0
 72-82,0,0,32.39,0,4.91,0,0,5.89,0,258.18,5.89,0,45.16,0,0.98,0,0
 84-94,3.19,0,25.49,0,7.43,1.06,1.06,2.12,1.06,130.63,0,1.06,28.68,0,1.06,1.06,0
 96-106,1.09,0,13.11,0,9.84,0,0,1.09,0,115.84,4.37,0,5.46,0,0,0,1.09
108-118,1.53,0.77,12.26,0,7.66,0.77,0.77,0,0,81.19,0,0,5.36,0.77,0,0,0
120,0,0,9.8,0,9.8,0,0,3.92,1.96,131.31,0,0,7.84,0,0,0,0
