stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,visceral_smooth_muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,9.85,0,0,0,0,8.21,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,33.03,0,0.81,0,0,16.92,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0.57,0,74.59,0.57,0,0.57,0,12.62,0,0
 60-70,0,0,0,0.98,5.89,0,0,0,0.98,0.98,0,153.12,0,0,0,0.98,20.61,0,0
 72-82,0,0,0,2.94,4.91,0,1.96,0,0,1.96,0,180.63,0,0,0,0,17.67,0,0.98
 84-94,0,0,1.06,1.06,7.43,0,1.06,0,0,3.19,0,93.46,0,1.06,2.12,0,15.93,0,0
 96-106,0,0,0,1.09,4.37,0,0,0,0,1.09,0,88.52,0,0,0,0,5.46,0,0
108-118,0,0,0,2.3,5.36,0,1.53,0.77,0,3.06,0,102.64,0,0.77,0,0,5.36,0.77,0
120,0,0,0,5.88,13.72,1.96,1.96,0,0,11.76,1.96,197.94,0,1.96,1.96,0,13.72,0,0
