stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,210.85,4849.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.74,0,0,0,0,0,0,0,0,0,0,0
  5-6,177.76,2807.37,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,18.39,0,42.91,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,10.51,0,5.26,0,0,0,18.4,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,220.81,0,0,0,47.32,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,12.59,0,3.15,0,18.88,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,3.15,311.55,6.29,0,0,84.97,0,0,0,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,2,24,14,0,32,0,0,0,3,0,0,1,0,0,0,0,1,2,22,0,0,15,212,2,1,1,1,0,1,0,38,0,4,48,114,0,0,4,0,0
 24-34,0,0,0,0.82,13.13,9.03,0,68.13,0,0,0.82,11.49,0.82,0,0.82,0,4.1,0.82,0.82,2.46,4.93,59.92,0.82,0,28.73,416.99,1.64,0,3.28,0,0.82,11.49,0,0.82,0.82,1.64,13.95,162.53,0,0,9.03,0,9.03
 36-46,0,0,0,0,5.64,1.61,0,97.49,0,0.81,0.81,19.34,0,0,0.81,0,2.42,1.61,0.81,2.42,4.03,70.09,0,0,24.98,389.94,1.61,4.03,3.22,0,1.61,3.22,0,0,0,0.81,0.81,157.91,0,0,8.06,0,6.45
 48-58,0,0,0,0,4.02,1.15,0,145.17,0,2.87,2.87,45.33,0,0.57,2.87,0.57,1.72,1.15,0.57,1.15,4.02,100.99,1.15,1.72,21.8,304.69,2.3,1.15,3.44,0,1.15,4.59,0,0,0,0,0,118.2,0,0,7.46,0,6.31
 60-70,0,0,0,0.98,8.83,0.98,0,162.93,0,0.98,5.89,48.09,3.93,0,0.98,2.94,1.96,4.91,0,0,0.98,122.69,0,0.98,6.87,293.48,0,0,2.94,0,1.96,6.87,0,0,0,0.98,0,71.65,0,0,4.91,0,5.89
 72-82,0,0,0.98,0,3.93,4.91,0,140.38,0,1.96,3.93,74.61,3.93,0.98,2.94,2.94,1.96,2.94,0.98,0.98,1.96,131.54,0.98,2.94,12.76,271.92,0.98,4.91,6.87,0,0.98,1.96,0,0,0,0.98,0,42.21,0,5.89,10.8,0,2.94
 84-94,0,0,0,0,15.93,12.74,0,109.39,0,2.12,4.25,42.48,7.43,0,1.06,5.31,5.31,3.19,1.06,4.25,2.12,95.58,1.06,4.25,11.68,148.69,0,1.06,3.19,0,1.06,7.43,0,0,1.06,0,0,27.61,3.19,3.19,7.43,2.12,4.25
 96-106,0,0,0,0,22.95,10.93,0,55.74,1.09,0,4.37,48.09,5.46,0,2.19,7.65,2.19,3.28,1.09,3.28,2.19,100.54,0,3.28,8.74,118.03,1.09,3.28,10.93,0,1.09,13.11,0,0,0,0,0,10.93,0,2.19,7.65,4.37,9.84
108-118,0,0,2.3,0,16.85,6.13,2.3,58.21,0.77,1.53,6.89,42.13,5.36,0,0.77,8.43,3.83,6.89,4.6,2.3,0,65.11,0.77,0,18.38,160.85,3.83,1.53,2.3,0,0.77,8.43,0,0,0.77,0,0,6.89,1.53,0,5.36,1.53,5.36
120,0,0,0,0,39.2,9.8,0,50.95,0,5.88,3.92,41.16,1.96,0,1.96,7.84,1.96,7.84,1.96,1.96,1.96,74.47,0,0,17.64,145.02,5.88,0,1.96,0,0,15.68,0,0,0,1.96,0,9.8,0,1.96,13.72,1.96,1.96
