stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,10.51,0,0,0,0,2.63,0,0,0,0,0,0,0,0,60.46,0,0,0,31.54,2.63,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,15.73,0,0,0,0,6.29,0,0,0,0,0,0,0,0,125.88,3.15,0,0,34.62,6.29,3.15,0,9.44,0,0,0,0,0,0
 14-21,0,0,1,1,2,5,0,0,0,0,0,0,0,0,0,0,4,0,0,38,1,0,0,1,3,0,4,2,6,17,0,1,0,0
 24-34,0,0,0,4.93,0.82,4.93,0,0,0,0,0,0,0,0,0.82,0,1.64,0,0.82,59.92,0,0,0,0.82,0.82,0,0,0,0,18.06,0,0,0,0
 36-46,0,0,0,0.81,0,6.45,0,0,0,0,0,0,0,0,0,0,2.42,0,0,51.56,0,0,0,0,1.61,0,0,0,0,28.2,0,0,0,0
 48-58,0,0,0,1.15,0,7.46,0,0,0,0.57,0,0,0,0.57,0,0,1.72,0,0,65.99,0,0,1.72,0,0,0,0,0,0,21.23,0,0,0,0.57
 60-70,0,0,0,1.96,0,48.09,0,0,0,5.89,0,0,0,0.98,0,0,4.91,0.98,0,154.1,0,0,3.93,0,0.98,0,0,0,0,32.39,0,0.98,0,0.98
 72-82,0,0,0,2.94,0,66.75,0,0.98,0,12.76,0,0,0,0.98,0.98,0,8.83,0.98,0,210.08,0,0.98,4.91,0,0,0,0,0,0,29.45,0,0,0,0
 84-94,0,0,0,1.06,0,60.54,2.12,0,3.19,6.37,0,0,0,3.19,0,0,6.37,0,2.12,122.13,1.06,0,11.68,0,0,0,0,0,0,10.62,1.06,1.06,1.06,0
 96-106,0,0,0,3.28,0,42.62,1.09,0,0,19.67,0,0,1.09,2.19,2.19,1.09,6.56,0,0,98.36,0,0,14.21,0,0,0,0,0,0,5.46,0,0,1.09,0
108-118,0,0,0,1.53,1.53,50.55,0,0,0,8.43,0,0.77,0,6.89,0,0,6.89,1.53,0,108.77,0,0.77,8.43,0,0,0,0,0,0,4.6,0,0,1.53,0
120,0,0,0,3.92,0,47.03,0,0,0,13.72,0,1.96,1.96,1.96,1.96,0,1.96,1.96,0,125.43,0,0,5.88,0,0,0,0,1.96,0,7.84,0,0,1.96,0
