stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,6,5,0,0,0,0,0
 24-34,0,0.82,0,0,0.82,13.13,0,0.82,0.82,0,0,0,3.28,0,0,11.49,12.31,4.1,0,0.82,0,0.82,16.42,4.1,0,0.82,0,0
 36-46,0,1.61,0.81,0,2.42,23.36,0,0,0,0,0,0,2.42,0,0,10.47,4.03,4.83,0,0.81,0,1.61,0,2.42,0,0,0,0
 48-58,0,1.15,0,0,6.31,31.56,0.57,1.72,0,0,0.57,0,1.15,0.57,1.15,5.16,7.46,4.59,0,0,0,2.3,0,2.87,0,1.15,0,1.15
 60-70,0,0.98,0,0,7.85,20.61,0,34.35,0,0,0,0,1.96,0,0,6.87,14.72,12.76,0,0,0,2.94,0,0.98,0,0,0,0
 72-82,0,0,0,0,12.76,15.71,0,66.75,0,0,0,0,6.87,0,0,2.94,10.8,17.67,0,0,0,1.96,0,0.98,0,0,0,0
 84-94,0,3.19,1.06,1.06,12.74,20.18,1.06,49.92,0,0,0,0,9.56,0,2.12,4.25,9.56,6.37,0,4.25,0,4.25,0,0,0,2.12,1.06,0
 96-106,0,1.09,1.09,3.28,17.49,19.67,1.09,59.01,0,0,0,1.09,7.65,0,0,2.19,10.93,29.51,2.19,1.09,0,3.28,0,1.09,1.09,0,1.09,0
108-118,0,0,0.77,0,8.43,16.85,0.77,56.68,0,0.77,0,0.77,5.36,0,0.77,6.13,9.19,14.55,0,0.77,0,3.06,0,0,0,0,0,0
120,0,1.96,0,1.96,11.76,15.68,0,39.2,0,0,0,1.96,0,0,0,3.92,9.8,11.76,0,1.96,1.96,0,0,0,0,0,0,0
