stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,10,2,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,3,51,0,0,0,2,0,0,9,2,4,27,0,0,1,0,0
 24-34,0,5.75,0.82,0,13.13,0,0.82,0,2.46,0,0,1.64,0,0,0,3.28,0,0.82,12.31,0,0,7.39,117.38,1.64,0.82,0,0,0,0.82,0,0.82,5.75,28.73,0,0,1.64,0,0.82
 36-46,0,1.61,0,0,29.81,0.81,0,0.81,7.25,0.81,0,0,0.81,0,0,0.81,0,0,25.78,0,0,5.64,145.83,0,5.64,0.81,0,0,3.22,0,0,0,41.89,0,0,2.42,0,0
 48-58,0,1.72,0,0,33.28,0,0,0.57,6.31,0,0,0,1.15,0.57,1.15,0.57,0,0.57,16.64,0,0,4.02,82.63,0,0,0.57,0,0.57,1.15,0,0,0,18.36,0,0,0.57,0.57,0.57
 60-70,0.98,2.94,0,0,61.84,0,0.98,0,12.76,1.96,0,0,0,0.98,0,0,0,0,27.48,0,1.96,4.91,88.34,0.98,2.94,3.93,0,0,4.91,0,0,0,18.65,0,0,3.93,0,0
 72-82,0,2.94,1.96,0,30.43,0.98,0,0.98,10.8,0.98,0,0.98,0,0,0,1.96,0,0,30.43,0.98,2.94,0,58.9,0,0.98,0,0,0,0,0,0.98,0,7.85,0,0.98,2.94,0.98,0
 84-94,1.06,8.5,1.06,0,30.8,0,1.06,2.12,10.62,0,2.12,1.06,2.12,1.06,0,0,0,0,26.55,0,1.06,4.25,30.8,0,0,2.12,0,1.06,9.56,0,0,0,8.5,2.12,0,2.12,1.06,1.06
 96-106,0,2.19,3.28,0,13.11,1.09,1.09,0,6.56,2.19,0,0,2.19,0,1.09,0,2.19,0,13.11,0,0,1.09,32.79,0,1.09,1.09,0,0,3.28,0,0,0,3.28,1.09,0,1.09,0,0
108-118,0,4.6,1.53,0.77,10.72,0,0,0,7.66,0,0,0,0,0,2.3,0,0.77,0,18.38,0.77,1.53,2.3,31.4,1.53,0.77,0.77,0,0,3.83,0,0.77,0,1.53,0,0,1.53,0,1.53
120,0,9.8,0,0,13.72,0,0,3.92,7.84,0,0,1.96,1.96,0,1.96,0,0,0,7.84,0,3.92,3.92,27.44,1.96,0,1.96,0,0,5.88,0,0,0,0,1.96,1.96,3.92,0,0
