stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,217,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,1,0,0,0,0
 24-34,0,2.46,521.24,3.28,0,0,0,0,0,0,0.82,0,0.82,0.82,0.82,0,3.28,24.63,0,0,0,0,0.82,0,0,0,0,4.93,0,2.46,0,0
 36-46,0,0,326.3,4.03,0,0,0,0,0,0,0,0,0,0,1.61,0,0.81,16.11,0,0,0,0,0,0,0,0,0.81,6.45,0,0,0,0
 48-58,0,0.57,514.13,4.02,0,0.57,0.57,1.15,0.57,1.72,1.15,0,0,0,18.94,0.57,0.57,30.99,0.57,0,0,0,1.15,0,0,0,0,6.31,0,2.87,0,0.57
 60-70,0,1.96,644.86,14.72,0,0,0,3.93,0.98,5.89,1.96,0,0.98,0,78.52,0,0.98,28.46,0,0,0,0,0.98,0,0,0,0,3.93,1.96,7.85,0,0
 72-82,0,0,619.43,22.58,1.96,0.98,0,9.82,0,4.91,3.93,0,0.98,0,178.66,0,0.98,37.3,0,0,0,0,3.93,0,0.98,0,0,0.98,0.98,26.5,0.98,0.98
 84-94,0,7.43,517.21,20.18,0,0,0,3.19,3.19,3.19,5.31,1.06,2.12,0,91.34,2.12,6.37,18.05,0,1.06,1.06,0,0,0,0,0,0,3.19,0,20.18,2.12,1.06
 96-106,0,3.28,555.17,20.76,0,0,0,2.19,0,1.09,5.46,0,1.09,0,110.38,0,4.37,29.51,0,0,0,0,2.19,0,0,0,0,0,2.19,28.41,2.19,1.09
108-118,0,3.83,340.85,15.32,0,0,0,3.06,0,3.06,0.77,2.3,0,0,133.28,0.77,2.3,29.87,0,0,0,0,1.53,0,0,1.53,0,0.77,1.53,27.57,1.53,0
120,0,0,407.64,15.68,0,0,1.96,1.96,5.88,1.96,0,0,3.92,0,117.59,1.96,0,31.36,0,0,0,0,1.96,0,0,0,0,1.96,0,23.52,0,0
