stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0
 24-34,0,0,3.28,0,0,0,0,0.82,0,0,0,0,57.46,0,4.93,0,0,0,4.93,0,0,1.64,4.93,4.93,0,9.85,0.82,0,0,0,0,0,0
 36-46,0,0,4.03,0,0,0.81,0,0.81,0,0,0,0,8.06,0,8.06,0,0,0.81,2.42,0,0,17.72,6.45,0.81,0,44.31,0,0.81,2.42,0,0,0,0
 48-58,0,0.57,5.16,0,0,1.72,0,0,0,3.44,0,0,4.02,0,4.59,0,0,2.87,1.72,0.57,0.57,19.51,8.61,4.02,0,167.55,0,0,4.59,0,0,0.57,0
 60-70,0,0.98,3.93,0,0,2.94,0,1.96,0.98,0,0.98,0,5.89,0,14.72,0,0,0.98,0.98,0,0,16.69,12.76,4.91,0,166.86,0,0,0.98,0.98,0,0,0
 72-82,0,1.96,4.91,0.98,0,4.91,0,1.96,0,0.98,13.74,0,9.82,0,27.49,0,0.98,2.94,2.94,0,2.94,19.63,19.63,6.87,0,219.89,0,1.96,0,0.98,0,2.94,0
 84-94,0,3.19,9.56,0,0,5.31,2.12,4.25,0,0,13.81,0,12.74,0,28.68,1.06,0,2.12,2.12,0,0,14.87,20.18,2.12,0,475.79,1.06,0,0,1.06,0,0,0
 96-106,0,2.19,14.21,0,1.09,7.65,2.19,8.74,0,3.28,53.55,2.19,24.04,0,57.92,0,0,4.37,4.37,0,0,19.67,75.41,1.09,0,419.65,2.19,0,0,4.37,1.09,1.09,0
108-118,0,9.19,26.04,0.77,0.77,3.06,1.53,8.43,0,2.3,44.43,0,16.85,0,39.06,1.53,0,5.36,0.77,0,0,11.49,40.6,6.13,0,130.98,2.3,0.77,0.77,3.83,0.77,0,0.77
120,0,1.96,21.56,0,0,0,1.96,7.84,0,0,54.87,0,17.64,1.96,29.4,3.92,0,1.96,0,0,1.96,11.76,35.28,0,1.96,66.63,1.96,1.96,0,0,0,0,0
