stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,3.15,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0.82,0.82,0.82,0,0,0,0,0.82,8.21,0,0,0,0,0,1.64,0
 36-46,0,0,0,0,2.42,0,0,0,0,0,1.61,0,0,8.06,0,0,0,0,0,2.42,0
 48-58,0,0,0,0,2.87,0,0,0,0,0,0.57,0,0.57,6.31,0,0,0,0,0,2.3,0
 60-70,0,0,0,0,2.94,0,0.98,0,0,0.98,0,0,0,7.85,0,0,0,0,0,1.96,0
 72-82,0,0,0,0.98,1.96,0.98,2.94,0,0,0,0.98,0,0,7.85,0,0,0,0,0,1.96,0.98
 84-94,0,0,0,1.06,2.12,1.06,2.12,1.06,0,0,0,0,0,2.12,0,0,0,0,1.06,0,0
 96-106,0,0,1.09,1.09,0,0,1.09,0,0,0,1.09,1.09,0,2.19,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0.77,0.77,0.77,0,0,0,0.77,0,0,6.89,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,3.92,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
