stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,13.14,0,0,0,0,0,186.64,0,0,0,0,0,0,0,0,0,0,0,28.92,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,6.29,12.59,0,0,50.35,0,0,0,0,0,396.52,0,0,0,0,0,0,0,0,0,0,0,283.23,6.29,0,0,66.09,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,212,7,9,0,14,0,0,6,70,0,2,2,0,0,0,0,9,0,0,6,261,1,11,0,4,0,1,2,0,4,88,0,0,0,0,0
 24-34,0,0,4.1,119.02,0.82,3.28,0,28.73,2.46,2.46,0.82,0,0,9.85,0.82,0,0.82,0,0,25.45,0,0,1.64,169.1,0,7.39,1.64,0,0,4.93,0,0,0,74.7,0,0,4.1,0,0
 36-46,0,0,0,45.12,0,9.67,0,24.17,4.83,4.83,2.42,0,0,20.95,0,0.81,4.83,0,0,63.65,0,6.45,10.47,105.54,0,3.22,0,0,0,1.61,0,0.81,0,30.62,0,0.81,5.64,0,0
 48-58,0,0,1.15,80.33,0,8.61,0.57,23.53,13.2,4.02,0.57,0,0,20.66,0.57,4.02,2.87,0,0,162.39,1.15,24.67,12.62,78.04,0,1.72,1.72,0,1.72,1.15,0,0,0,22.95,0,1.15,5.16,2.3,0
 60-70,0,0,0,97.17,0,5.89,0,45.15,13.74,16.69,0.98,0,0,20.61,0.98,0,0,1.96,0,296.42,1.96,50.06,21.59,118.76,0,1.96,1.96,0,1.96,2.94,0,0,0,11.78,2.94,22.58,4.91,12.76,0
 72-82,0,0,0,101.11,0,45.16,0,54.97,25.52,24.54,1.96,0.98,0,34.36,4.91,0.98,11.78,0,0,444.69,0.98,33.38,26.5,133.51,0,0.98,5.89,0,1.96,0.98,0,0,0,8.83,14.72,47.12,13.74,23.56,0
 84-94,0,0,0,134.88,1.06,76.47,1.06,79.65,14.87,27.61,2.12,1.06,0,54.16,3.19,2.12,8.5,0,1.06,298.43,0,45.67,9.56,80.71,0,3.19,0,0,2.12,2.12,0,1.06,0,10.62,64.78,53.1,10.62,27.61,2.12
 96-106,0,0,0,173.76,3.28,61.2,0,98.36,17.49,30.6,12.02,0,2.19,59.01,4.37,4.37,21.86,2.19,1.09,312.55,1.09,16.39,9.84,104.91,0,5.46,10.93,0,0,4.37,0,2.19,0,10.93,124.58,46.99,21.86,29.51,1.09
108-118,0.77,0,0,121.79,3.06,20.68,0.77,134.04,12.26,44.43,16.09,0,0,37.53,7.66,3.83,22.98,0,0,284.94,0,15.32,7.66,108.77,0,3.83,5.36,0,3.83,6.13,0,3.06,0,3.83,137.11,44.43,23.74,19.92,0
120,0,0,0,101.91,1.96,19.6,0,103.87,9.8,37.24,5.88,0,0,37.24,7.84,3.92,13.72,0,0,252.81,3.92,5.88,7.84,111.71,0,1.96,5.88,0,1.96,3.92,0,0,0,5.88,66.63,29.4,17.64,21.56,0
