stage,eye,immune,melanocytes,mesenchyme,muscle,neural,olfactory,periderm,pronephros,slow_muscle,spinal_cord,taste
 14-21,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,1.64,0,0,0,0,0
 36-46,0,0,0,0.81,0,3.22,7.25,0,0,0,0,0
 48-58,0.57,0.57,0.57,1.15,0.57,1.15,2.87,0,0.57,0,1.15,0
 60-70,0,0,0,0.98,0,0.98,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,0,2.94,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,9.56,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,8.74,0,0,1.09,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0,0.77
120,0,0,0,0,0,0,3.92,0,0,0,0,0
