stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,685.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,18.39,281.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,6,2,0,6,0,0,22,2,0,0,0,0,0,0,0,0,2,0,0,0,104,1,0,1,0,0,1,0,5,1,6,46,0,0,0,0
 24-34,0,0,1.64,0.82,1.64,0.82,0,21.34,0.82,0,50.07,0,0,0.82,0,0,0.82,0,0,1.64,4.1,0,0,2.46,279.09,1.64,0.82,2.46,0,0,3.28,0,1.64,0,2.46,153.5,0,0.82,0,0
 36-46,0,0,0.81,0,2.42,0,0,24.17,0,0,103.13,0,0.81,3.22,0,0,0,0,0,0,4.03,0,0,1.61,451.98,2.42,0.81,6.45,0,0,0,1.61,0.81,0,0,170,0,0,0,0
 48-58,0,0,0,0,3.44,0,0,79.76,0.57,0.57,151.48,0,0,1.72,0,0,0,0,0,1.15,12.05,0,0.57,1.15,462.49,1.72,1.15,6.31,0,0,1.72,0,1.15,0,0,123.94,0,2.3,0,0
 60-70,0,0,0,0,4.91,0,0,267.96,0.98,0,216.92,0.98,0,1.96,0,0,1.96,0,0,0,22.58,0,4.91,0.98,875.52,0.98,0.98,6.87,0,0,2.94,0,2.94,0,0,138.39,0,0,0,0
 72-82,0,0,0,0,6.87,0,0,337.69,0,0.98,271.92,3.93,0,0.98,0,0,1.96,1.96,0.98,0,39.27,0,8.83,4.91,719.56,0.98,0,8.83,0,0,0.98,0,0.98,0,0,63.81,0,0.98,2.94,0.98
 84-94,0,0,1.06,0,9.56,0,0,175.24,2.12,4.25,146.56,4.25,0,2.12,1.06,1.06,0,0,1.06,1.06,23.36,0,4.25,3.19,365.34,1.06,2.12,8.5,0,1.06,3.19,0,3.19,0,0,35.05,1.06,0,1.06,0
 96-106,0,0,1.09,0,3.28,1.09,0,154.09,0,0,123.49,3.28,0,0,1.09,0,1.09,1.09,0,1.09,20.76,0,3.28,3.28,325.67,0,2.19,10.93,0,0,4.37,0,2.19,0,0,21.86,0,1.09,1.09,3.28
108-118,0,0,0,0.77,6.89,0,2.3,119.49,3.06,1.53,128.68,3.83,0,1.53,0.77,0,0.77,0.77,0.77,0,22.98,0.77,6.89,3.83,304.09,0,1.53,15.32,0,0,3.06,0,0.77,0,0,8.43,0,0.77,0.77,0
120,0,0,0,0,11.76,0,1.96,135.23,0,0,97.99,0,0,0,0,0,0,0,0,0,33.32,0,0,0,356.68,1.96,1.96,13.72,0,0,0,0,0,0,0,21.56,0,0,0,0
