stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,131.78,2582.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0
  5-6,79.69,1084.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,6.13,0,0,6.13,24.52,0,0,0,0,0,0,0,0
  7-9,10.51,7.89,7.89,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,194.52,7.89,0,0,73.6,0,5.26,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,50.35,3.15,0,0,28.32,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,4,0,1,0,0,0,1,1,0,0,0,1,4,22,2,1,0,0,0,2,3,0,1,5,6,0,0
 24-34,0,0,0,0.82,0.82,0,0.82,0.82,0,0,0,0,0,0,4.93,2.46,10.67,0,0.82,0,0,0.82,0,0,0,0,0,5.75,0,0
 36-46,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,5.64,0.81,7.25,0,0,0,0,0.81,0,0,0.81,0,0,0.81,0,0
 48-58,0,0,0,0,0,1.72,0,2.3,0.57,0,0,0,0,0,5.16,0,5.74,0,0,0.57,0,0.57,0,0,0,0,0,1.15,0.57,0
 60-70,0,0,0,0,0,3.93,0.98,1.96,0,0,0,0.98,0,0,3.93,0.98,10.8,0,0,0,0,0,0,0,0.98,0,0,1.96,0,0.98
 72-82,0,0,0,0,0,6.87,1.96,0.98,0.98,0,0,0,0,0,4.91,0,7.85,0,0,0,0,0,0,0,0.98,0,0,0.98,0,0
 84-94,0,0,0,0,0,3.19,1.06,0,0,0,1.06,0,0,0,2.12,1.06,2.12,0,0,1.06,0,1.06,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,3.28,0,2.19,0,0,0,0,1.09,0,2.19,0,3.28,0,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,1.53,0,0,0,0,0.77,0,0,0,2.3,0,3.06,0,0.77,0,0,0.77,0,0,0.77,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
