stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,34.17,2.63,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,4,1,2,0,0,0,4,2,0,0,0,0,0,0,0,3,0,0,86,0,1,0,3,0,0,4,0,0,8,41,0,1,0,0
 24-34,0,0,0,0,3.28,1.64,8.21,0,0,17.24,16.42,0,0,0.82,0,0,0,0.82,0,12.31,0,9.85,844.66,4.1,0.82,0.82,0,0,1.64,0.82,0.82,0,34.48,249.54,0,3.28,0,0
 36-46,0,0,0,0,4.03,0,29.81,0,0,42.7,70.9,0,0,0,0.81,0,0,0,0,16.92,0.81,20.14,2255.07,0.81,0,0.81,0,0,0.81,0,0,0.81,0,580.08,0,0.81,0,0
 48-58,0,0,0,0,5.16,1.72,139.43,1.15,0,52.79,203.7,0,0,0.57,0,0.57,0.57,0.57,0.57,21.8,1.15,16.07,2012.91,0.57,0.57,1.15,0,0,0,0,0,0.57,0,556.59,0,0,0,1.15
 60-70,0,0,0,0,1.96,5.89,269.92,0,2.94,39.26,212.99,0,0,0,0,0,0,0,0,15.7,4.91,4.91,1636.2,0,0,0.98,0,0,0.98,0,0,0,0,299.36,0,1.96,0.98,1.96
 72-82,0,0,0,0,4.91,14.72,173.75,0,0.98,43.19,237.56,0,0,0,0,0,0,0,0,28.47,1.96,9.82,1027.8,0,0,0,0,0,0,0,0,0,0,90.31,0,1.96,0,0
 84-94,0,0,0,0,6.37,12.74,130.63,0,1.06,30.8,173.11,1.06,0,1.06,0,2.12,1.06,0,0,20.18,2.12,4.25,497.03,0,2.12,0,0,0,1.06,0,0,0,0,77.53,1.06,0,1.06,1.06
 96-106,0,0,0,0,2.19,17.49,62.29,0,2.19,17.49,121.31,1.09,0,0,0,1.09,0,1.09,1.09,12.02,0,1.09,370.48,1.09,0,1.09,0,1.09,0,0,0,0,0,26.23,0,0,1.09,0
108-118,0,0,0,0.77,4.6,6.89,32.17,0.77,0,16.09,103.41,0,0,0,0,0,0.77,0,0,10.72,0.77,1.53,301.79,0,0,3.83,0,0,0,0,0,0.77,0,9.96,0,0,0,0.77
120,1.96,0,0,0,1.96,17.64,52.91,0,0,13.72,88.19,0,0,0,0,0,0,0,0,1.96,0,0,292.01,0,0,0,0,0,1.96,0,1.96,0,0,17.64,0,0,0,0
