stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,immune,lateral.line,liver,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0.82,0.82,0,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0.81,0.81,0,0,0,0,0,0
 48-58,0,0,1.15,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0
 60-70,0,0,14.72,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,66.75,0,0.98,0,0.98,0.98,0,0.98,1.96,0.98,0,0,0,0,1.96
 84-94,0,0,30.8,0,4.25,0,0,0,0,2.12,3.19,0,0,1.06,0,2.12,0
 96-106,0,1.09,43.71,1.09,3.28,1.09,1.09,1.09,1.09,0,10.93,0,0,1.09,0,0,1.09
108-118,0,0,26.04,0,1.53,0,0,0,0,0,3.83,0,0,0,0.77,0,0
120,0,0,13.72,0,3.92,0,0,0,0,0,1.96,0,0,0,0,0,0
