stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540.3,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484.24,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,7.89,0,84.12,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,855.98,6.29,0,0,22.03,0,28.32,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,720,2,0,2,0,0,0,0,0,1,0,10,3,0,0,1,1,0,0,8,0,0,0,1,0,11,1,0,6,0,0,0,0,0
 24-34,0,0,0,0,430.95,0.82,0,11.49,0,26.27,0,0,0,0,0,17.24,0,0,0,5.75,2.46,0,1.64,17.24,0,3.28,0,0,0,17.24,0,0,4.93,0,0,0.82,0,0
 36-46,0,0,0,0,137.77,0,0,6.45,0,26.59,0.81,0,0,0,0,15.31,0,0,0,9.67,0.81,2.42,0,14.5,0,4.83,0,0,0,14.5,0,0,0,0,0,0.81,0,0.81
 48-58,0,0,0,0,109.02,0,0,5.74,0,45.9,2.3,0.57,0.57,0,0,11.48,0,0.57,0,5.74,0.57,1.15,0,10.9,0,7.46,0,0,0.57,5.74,0,0.57,1.15,0,0,0.57,0,1.72
 60-70,0,0,0,0,108.95,0,0,9.82,0,42.21,0.98,0,0,0,0,21.59,0.98,0,0,9.82,1.96,0.98,0.98,5.89,0,6.87,0,0,0,6.87,0,0,0.98,0,0,2.94,0.98,0
 72-82,0,0,0,0,115.84,0,0,5.89,0,56.94,0,1.96,0.98,0,0,18.65,0.98,0.98,0.98,15.71,0,1.96,0.98,19.63,0,28.47,0,0,0.98,14.72,0,0,1.96,1.96,0,0.98,7.85,0
 84-94,0,0,2.12,0,287.81,0,0,15.93,0,98.77,2.12,0,3.19,0,0,52.04,5.31,1.06,1.06,8.5,1.06,2.12,0,15.93,0,12.74,0,0,0,65.85,0,0,0,5.31,1.06,2.12,5.31,0
 96-106,0,0,1.09,0,316.93,3.28,1.09,10.93,1.09,87.43,1.09,1.09,5.46,0,0,52.46,2.19,1.09,1.09,15.3,8.74,2.19,0,27.32,0,33.88,2.19,0,0,62.29,0,0,0,3.28,3.28,3.28,5.46,0
108-118,0,0,0.77,0,310.98,3.06,0,8.43,0,119.49,1.53,0.77,6.13,0,0.77,50.55,1.53,0,0,15.32,6.13,1.53,0.77,25.28,0,18.38,0.77,0,0.77,46.72,0,0.77,0,3.83,0,3.83,2.3,0
120,0,0,0,0,227.34,0,0,13.72,0,92.11,0,0,3.92,1.96,1.96,56.83,0,0,0,7.84,1.96,3.92,1.96,15.68,0,19.6,0,0,0,45.08,0,1.96,3.92,5.88,0,7.84,1.96,0
