stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
 24-34,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0.82,33.66,0,0,0,0,0.82,0,0,0,13.13,0,0,0,0
 36-46,0,0,0,0,0,0.81,0.81,0,0,0,0,0,0,0,0,0.81,0,0,0,129.71,0.81,0,0,0,0,0,0,0,24.17,0,0,0,0
 48-58,0,0,1.72,1.72,0,12.05,0,0,2.3,0,0,0,0,0,0,4.59,0,0,0.57,279.44,0.57,0.57,0,0,0.57,0,0,0,38.44,0,0.57,0,0
 60-70,0,0.98,0.98,0,0,51.04,0.98,0,1.96,0,0,0,0,0,0,4.91,0,0,0.98,561.43,0.98,1.96,0,0.98,2.94,0,0,0,54.97,0,0,0,1.96
 72-82,0,0,6.87,5.89,0,94.24,0,0,5.89,0,0,0,0.98,0,0.98,24.54,0.98,0,2.94,574.27,0,1.96,0,0,0,0,0,0,53.99,0,0.98,0.98,0
 84-94,0,0,2.12,4.25,0,62.66,0,1.06,7.43,0,0,0,1.06,1.06,0,9.56,0,1.06,0,257.01,1.06,2.12,0,0,2.12,0,0,0,19.12,0,1.06,0,0
 96-106,0,0,1.09,4.37,1.09,53.55,0,0,5.46,0,1.09,2.19,1.09,2.19,1.09,15.3,1.09,0,0,195.62,0,1.09,0,0,2.19,0,0,0,10.93,0,0,0,0
108-118,0,0,0.77,2.3,0,40.6,0,0.77,3.83,0.77,0.77,0,0,0.77,0.77,3.06,0,0,0.77,242.81,0,0,0,0,2.3,0,0,0,5.36,0,1.53,0,0
120,0,0,0,5.88,0,31.36,0,0,5.88,0,0,0,0,0,1.96,11.76,0,0,0,223.42,0,1.96,0,0,0,0,0,0,9.8,1.96,0,1.96,0
