stage,epidermis,eye,fin.epithelia,glial,hatching.gland,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,periderm,spinal.cord
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0.82,0,0.82,0.82,1.64,0,13.13,0
 36-46,0.81,0,0,0,0.81,0.81,0,0.81,0,0,0,12.89,0
 48-58,0,0.57,0,0,0.57,0.57,0.57,0.57,0,0,0,9.18,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,11.78,0
 72-82,0,0,0,0,0.98,1.96,0,0,0,0.98,0,7.85,0.98
 84-94,0,0,0,0,0,1.06,0,0,0,0,1.06,28.68,0
 96-106,3.28,0,1.09,0,0,1.09,1.09,0,0,1.09,1.09,13.11,0
108-118,0.77,0,0,0.77,0,3.06,0.77,0,0,0,0,10.72,0
120,1.96,0,0,0,0,3.92,0,0,0,0,0,29.4,0
