stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0
 24-34,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,1.64,30.37,0,0,0.82,0,0,0,0.82,0,6.57,12.31,0,0.82,0,0
 36-46,0,0,0,0,0,6.45,0,0,0,2.42,0,0.81,0,0,0,0,0,1.61,0,0,0,35.45,0,0,0,0,0,0.81,0,0,9.67,6.45,0,0.81,0,0.81
 48-58,0,0,0,0,0,26.4,1.15,0,0,2.3,0,0,0,0,0,0,0,2.87,0,0,2.3,34.43,0.57,0.57,0.57,0,0.57,1.15,0,0,14.92,9.75,0,0,0,0
 60-70,0,0,0,0,0,109.93,4.91,0,0,12.76,0.98,0,0,0.98,1.96,0,0,8.83,0,0,0.98,41.22,0,0.98,0.98,0.98,0,2.94,0,0,12.76,11.78,0,0.98,0,0
 72-82,0,0,0.98,0,0,179.64,3.93,0,0,18.65,0,0,0.98,0,0,0,0,17.67,0,0,2.94,54.97,0,0.98,0,0,0,0.98,0,0,6.87,4.91,0.98,0,0,0
 84-94,0,1.06,3.19,0,0,94.52,10.62,1.06,2.12,11.68,0,0,0,0,0,1.06,1.06,2.12,0,1.06,3.19,39.3,1.06,1.06,1.06,0,0,2.12,0,1.06,11.68,4.25,0,0,1.06,0
 96-106,0,0,2.19,1.09,1.09,102.73,12.02,0,0,8.74,1.09,0,0,0,1.09,0,0,10.93,1.09,1.09,1.09,32.79,0,2.19,3.28,0,0,2.19,0,2.19,19.67,3.28,1.09,1.09,0,0
108-118,0,0,2.3,0.77,0.77,74.3,14.55,0,0,5.36,0,0,0,0,0,0,0,6.89,0,0,0.77,41.36,0.77,0.77,0,0,0,2.3,0,2.3,19.15,2.3,0,0.77,0,0
120,0,0,3.92,0,0,52.91,13.72,0,0,7.84,0,0,0,0,0,0,0,7.84,0,1.96,1.96,27.44,0,0,1.96,0,0,0,0,1.96,7.84,1.96,0,3.92,0,0
