stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0.82,20.52
 36-46,0,0,0,0,0,0.81,0,0,0.81,0,0.81,0.81,3.22,0,0,0,0,0,1.61,0,11.28
 48-58,0,0,2.3,0,0,0,0,0,0,0,2.3,0,0.57,0.57,0,0,0,0,0,0,26.4
 60-70,0,0.98,6.87,0,0,0,0,0,0,0,12.76,0.98,0,0,0,0,0,0,0,0,36.32
 72-82,0,0,3.93,0.98,0,0,0,0,0,0.98,9.82,0,0,0,0,0,0,0,0,0,18.65
 84-94,0,0,5.31,0,0,0,0,0,0,1.06,13.81,0,0,0,0,0,2.12,0,1.06,0,20.18
 96-106,0,0,3.28,0,0,1.09,0,0,0,0,12.02,0,0,0,0,0,0,0,0,0,15.3
108-118,0,0,3.06,0,0,0,0.77,0.77,0,0,6.89,0,0,0,0,0,0.77,0,0,0.77,11.49
120,0,0,3.92,0,0,0,0,1.96,0,0,7.84,1.96,0,0,1.96,0,0,0,1.96,0,5.88
