stage,blastomeres,epidermis,eye,fin_epithelia,glial,heart,mesenchyme,neural,notochord,periderm,pgc,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,6.13,0,6.13,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,9.44,0,0,3.15,0
 14-21,0,1,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,1.64,0,0.82,0,0,0,0.82
 36-46,0,0,0,0,0,0.81,0,1.61,0,0,0,1.61
 48-58,0,0,0,0,0,1.15,0.57,2.3,0,0,0,2.3
 60-70,0,0,0,0,0.98,0,0,1.96,0,0,0,6.87
 72-82,0,0,0,0,0,0.98,0,2.94,0,0,0,5.89
 84-94,0,0,1.06,0,0,1.06,1.06,1.06,0,2.12,0,4.25
 96-106,0,0,0,0,0,1.09,1.09,0,1.09,0,0,1.09
108-118,0,0.77,0,0.77,0,0,0,0.77,0,2.3,0,2.3
120,0,1.96,1.96,0,0,0,0,0,0,0,0,1.96
