stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,1,0,0,0,0,2,2,0,46,0,0,0,0,0
 24-34,0,0.82,0,4.1,0,0,7.39,0,0.82,0,0,0,0,0.82,0,0,0,8.21,0.82,0,0,0.82,0,0.82,428.49,0,18.06,0.82,0,0,0.82,0,2.46,0.82,158.43,0,0,0.82,0,0
 36-46,0,0,0,3.22,0.81,0,17.72,0,0.81,0,16.92,0,0,0,0,0,0.81,12.09,0,1.61,2.42,0,0,1.61,1187.56,0.81,30.62,1.61,0,0,0.81,0,0.81,0.81,326.3,0,0,0,0,0.81
 48-58,0,0,0,9.18,0,0,113.61,1.15,0.57,1.15,152.06,0,0,0,1.15,0.57,0.57,14.35,0,0.57,22.38,1.15,0.57,4.59,2431.79,0,21.23,1.15,0,0,2.3,0,2.3,0,534.79,0,0,2.3,0,1.15
 60-70,0,0.98,0,8.83,0.98,0,283.66,0.98,3.93,0.98,343.53,2.94,0,1.96,3.93,0,1.96,24.54,0,0,51.04,0.98,0.98,0.98,3385.27,0,28.46,3.93,0,0,6.87,0,1.96,0,583.02,0.98,0.98,0,0,2.94
 72-82,0,3.93,0,26.5,6.87,0.98,563.47,0.98,2.94,3.93,476.11,2.94,0,0.98,3.93,2.94,0,57.92,2.94,0.98,155.1,2.94,2.94,1.96,3419.13,0,46.14,10.8,0,0.98,2.94,0,2.94,0,332.78,17.67,0,3.93,1.96,3.93
 84-94,0,0,0,49.92,4.25,0,450.3,1.06,4.25,5.31,346.22,1.06,0,0,3.19,2.12,4.25,75.4,0,0,108.33,1.06,1.06,4.25,1844.76,0,39.3,10.62,0,0,10.62,0,9.56,0,215.59,24.43,1.06,4.25,0,1.06
 96-106,0,1.09,0,32.79,8.74,0,416.37,0,1.09,1.09,318.02,9.84,0,1.09,2.19,2.19,1.09,111.47,4.37,0,110.38,0,2.19,4.37,1627.25,0,62.29,19.67,0,0,8.74,0,9.84,0,102.73,28.41,3.28,3.28,0,2.19
108-118,0,2.3,0.77,28.34,2.3,0,261.96,2.3,12.26,2.3,308.68,1.53,0,0,2.3,2.3,3.83,78.13,2.3,0.77,83.49,0,1.53,0.77,1749.46,1.53,39.06,22.21,0,1.53,6.13,0,9.19,0,68.17,23.74,0,2.3,1.53,1.53
120,0,3.92,1.96,45.08,0,0,248.89,1.96,9.8,0,317.49,7.84,0,0,3.92,0,0,39.2,1.96,0,72.51,1.96,0,7.84,1991.14,0,23.52,13.72,0,1.96,9.8,0,3.92,0,92.11,19.6,0,7.84,0,0
