stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,30.65,380.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,2.63,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,162.98,2.63,0,0,44.69,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,107,3.15,0,0,50.35,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,10,1,4,3,0,0,0,0,0,0,0,0,5,0,4,78,2,0,0,2,2,11,0,10,23,0,1,0
 24-34,0,0,0,0,1.64,0,7.39,2.46,0,0,0.82,0,0,0.82,0,0.82,11.49,0,3.28,79.62,0,1.64,0,0,0.82,0,0,0.82,23.8,0,4.93,0
 36-46,0,0,0,0,0.81,0,18.53,3.22,0,0,0,0,0,0,0.81,0,7.25,0,0.81,52.37,0,1.61,1.61,0,1.61,0,0,0,15.31,0,0.81,0
 48-58,0,0,0,0,1.72,0,18.94,7.46,0,0,0,0,0,0,0,0,6.31,0.57,1.15,29.84,0.57,0,0,0,0,0,0,0,10.33,0,1.15,0
 60-70,0,0,0,0,0.98,0,18.65,7.85,0,0,0.98,0,0,0,0,0,7.85,0.98,0,28.46,0,0,0,0,0,0,0,0,2.94,0,1.96,0
 72-82,0,0,0,0,1.96,0,12.76,4.91,0,0,0,0,0,0,0,0.98,9.82,0,0,22.58,0,0.98,0,0,0,0,0,0,0.98,0,0.98,0
 84-94,0,0,0,0,3.19,1.06,6.37,2.12,0,0,0,0,0,2.12,0,0,15.93,1.06,2.12,10.62,0,0,1.06,0,1.06,0,0,0,1.06,0,0,0
 96-106,0,0,1.09,0,2.19,0,6.56,2.19,1.09,0,0,0,1.09,0,0,0,8.74,1.09,2.19,13.11,0,1.09,1.09,0,1.09,0,0,0,1.09,0,2.19,0
108-118,0,0,0,0,1.53,0,7.66,3.06,0,0,0.77,1.53,1.53,0,0,0,4.6,0.77,0.77,8.43,0,0,0.77,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,1.96,1.96,13.72,5.88,0,0,0,1.96,0,0,0,0,3.92,0,0,11.76,1.96,0,0,0,1.96,0,0,0,1.96,1.96,1.96,0
