stage,epidermis,erythrocytes,eye,fast.muscle,glial,gut,heart,lateral.line,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0
 14-21,1,1,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,5.75,0,0,0,0,0,0,0.82,0
 36-46,0,0,0.81,0,0,0,0.81,0,0,11.28,0,0,0,0,0,0,0,0
 48-58,0,0,1.72,0,0,0,0,0,1.15,11.48,0,0,0,0,1.15,0,0,0
 60-70,0,0,2.94,0,0.98,0,0,0,0.98,26.5,0,0,0,0,3.93,0,0,0
 72-82,0,0,7.85,0,0,0.98,0,0,0.98,12.76,0,0,0,0,0,0,0,1.96
 84-94,0,0,3.19,0,0,0,0,0,0,5.31,0,0,0,0,0,1.06,0,3.19
 96-106,0,0,9.84,1.09,1.09,0,0,0,1.09,3.28,0,1.09,0,0,1.09,0,0,1.09
108-118,0,0,3.83,0,0,0,0,0,0,3.83,0,0,0,0,0,0,0,3.06
120,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0,0,0,1.96
