stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,1,0,0,0,4,0,0,0
 24-34,0,1.64,0,0,3.28,0.82,0,0,0,0,0.82,0,2.46,0.82,25.45,0,0.82,0,0,0.82,0,1.64,4.1,0,0.82,0
 36-46,0,0,0,0,4.03,0.81,0,0,0,0,0,0,0,0.81,21.75,0.81,0,0,0,0,0,0,8.06,0,0,0
 48-58,0,0,0,0,6.31,3.44,0,0,0.57,0,0,0,5.16,0.57,13.2,0,0,0,0,1.15,0,0,2.87,0,0,0
 60-70,0,0,0,0,5.89,0,0,0,0,0,0,0,3.93,0,17.67,0,0,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0,7.85,0,0,0.98,0.98,0,0,0,0.98,0,16.69,0,0.98,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,2.12,1.06,0,0,0,1.06,0,0,4.25,0,10.62,0,0,0,0,1.06,0,0,1.06,0,0,0
 96-106,0,1.09,0,0,4.37,1.09,1.09,0,0,1.09,0,0,5.46,0,15.3,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0.77,0,0.77,1.53,0,0,0,0,1.53,0,0.77,3.83,0,11.49,0,0,0,0,0,0.77,0,0,0,0,0.77
120,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,11.76,0,0,0,0,1.96,0,0,0,1.96,0,0
