stage,endoderm,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,mesenchyme,neural,olfactory,otic,periderm,slow.muscle,spinal.cord,vasculature,xanthophores
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,5.75,0,3.28,1.64,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,1.61,0,0,0,1.61,0,0,0.81,0,0
 48-58,0,0,0,0.57,0,0.57,0,0,0,6.89,0,1.72,1.15,0.57,0,0.57,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,3.93,0,1.96,1.96,1.96,0,0,0.98,0,0
 72-82,0,0.98,0.98,0,0,0,0,0,0,16.69,2.94,3.93,0.98,3.93,0.98,0,0,0.98,0
 84-94,0,0,3.19,0,0,0,0,0,0,30.8,0,0,0,4.25,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,1.09,0,0,29.51,1.09,0,4.37,5.46,2.19,0,0,0,1.09
108-118,0,0.77,1.53,0,0,0.77,0,0,0,26.81,0.77,2.3,1.53,6.13,3.83,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,19.6,0,1.96,0,1.96,3.92,0,0,1.96,0
