stage,epidermis,erythrocytes,eye,fast.muscle,mesenchyme,neural,olfactory,periderm,vasculature
 36-46,0,0,0.81,0,0.81,0,0,0,0
 48-58,0,0,2.87,0,0,0,0,0,0
 60-70,0,0,52.02,0,0.98,0.98,0,0,0
 72-82,0,0,105.04,0,0,3.93,0.98,0,0.98
 84-94,1.06,0,88.15,1.06,0,1.06,0,0,0
 96-106,0,0,57.92,0,0,1.09,0,0,0
108-118,0,0,52.09,0,0.77,0.77,0,0.77,0
120,0,1.96,41.16,0,0,0,0,0,0
