stage,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,presomitic_mesoderm,slow_muscle,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0
 10-12,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,2.42,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,6.89,0,0,0.57,0,0,0,0,2.3,0,0.57,2.87,0.57,0,0,0,0,0.57,0
 60-70,0,0,0,0,12.76,0,0,0.98,0,0,0,0,3.93,0,0,0.98,0.98,0.98,0,0,0,0,0
 72-82,0,0,0.98,0,18.65,0,0,0.98,0,0,0,0,5.89,0,0,5.89,0,0,0,0,0,0,0
 84-94,0,0,2.12,0,59.47,0,0,0,0,4.25,0,0,4.25,1.06,0,2.12,1.06,0,0,0,0,0,0
 96-106,0,0,3.28,0,56.83,1.09,0,1.09,0,5.46,2.19,0,3.28,0,0,2.19,0,1.09,0,0,0,0,2.19
108-118,0,0,1.53,0,71.23,0,0.77,0.77,0,4.6,0,0.77,0.77,0,0,0.77,0,0,0,0,0,0,0
120,0,0,1.96,1.96,21.56,0,0,0,1.96,3.92,0,0,5.88,0,0,0,0,0,0,0,1.96,0,0
