stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,2,0,0,0,2,0,0,0,2,0
 24-34,0,0,0,0,0,0.82,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0.82,31.19,0,0,4.93,0,0,1.64,2.46,2.46,0,0,11.49,0
 36-46,0,0,0,0,0,0,0,0,0,19.34,0,0,0,0,0,0,0,0,0,0,33.03,0,0,4.03,0,0,0,0,4.03,0,0,7.25,0
 48-58,0,0,0,0.57,0,3.44,0,0,0,68.86,0,0,0,0,0,0,0,0,0,1.15,33.28,0.57,0,2.87,0,0,0.57,0,17.79,0,0,10.33,0
 60-70,0,0,0,0.98,0,4.91,0,0,0,190.42,0,0.98,0,0,0,0,1.96,0,0,0,15.7,0,0,0,0,0,0.98,0,23.56,0,0,3.93,0
 72-82,0,0,0,0.98,1.96,40.25,0,0.98,1.96,510.46,0,0,0,0.98,0,0,2.94,0,0,0,19.63,0,0.98,4.91,0,0,1.96,0,16.69,0.98,0,11.78,0
 84-94,0,0,0,3.19,0,33.99,0,0,0,358.97,1.06,1.06,0,0,0,0,6.37,0,0,1.06,21.24,0,0,4.25,0,0,2.12,0,29.74,0,0,5.31,0
 96-106,0,0,0,12.02,1.09,42.62,1.09,0,1.09,481.95,3.28,0,1.09,1.09,2.19,1.09,2.19,0,0,1.09,39.34,0,0,4.37,0,1.09,1.09,0,20.76,0,1.09,5.46,1.09
108-118,0,0,0.77,0,0,11.49,0,0,0,454.22,0,1.53,0,0.77,0,0,3.83,0.77,0.77,0,22.98,1.53,0,3.06,0.77,0.77,0,0,17.62,0,0.77,4.6,0
120,0,0,0,1.96,0,19.6,0,0,0,391.96,5.88,1.96,0,0,0,0,0,0,0,0,25.48,0,0,1.96,0,0,0,0,7.84,0,0,3.92,0
