stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,817.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,98.07,1330.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,52.57,0,10.51,0,0,76.23,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,1469.45,26.29,0,0,333.85,0,5.26,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,12.59,0,28.32,69.23,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,745.83,9.44,0,0,62.94,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,10,2,3,0,0,0,10,0,0,11,0,0,0,0,0,0,61,0,0,14,384,1,2,1,1,0,0,0,0,1,3,141,0,0,0,0,0
 24-34,0,0,0,0.82,1.64,0,9.85,0.82,0.82,2.46,9.85,0,0,6.57,0,0,0,0,0,0,12.31,0,0,2.46,719.07,0.82,3.28,0.82,0,0,0,0,0.82,0,1.64,225.74,0,0,0,0,0
 36-46,0,0,0,0,3.22,0,5.64,6.45,0,11.28,28.2,0,0,1.61,0,0,0,0,0,0,54.79,0,0.81,4.03,441.51,0,0.81,0,0,0,0,0,0,0,0,182.89,0,0,1.61,0,0
 48-58,0.57,0,0,0,1.72,0,9.75,7.46,0,24.67,48.2,0,0,4.59,0,0,0.57,1.15,0.57,0.57,191.08,0,1.72,4.02,191.08,0.57,0,0,0,0,0.57,0,0,1.15,0,84.35,0,0,0,0,0.57
 60-70,0,0,0,0,3.93,0,11.78,2.94,0.98,35.33,32.39,0,0,0,0,0,0,0,0,0,318.01,0,0,3.93,108.95,0,0,0.98,0,0,0,0,0,0,0,27.48,0,0.98,0,0,0
 72-82,0,0,0.98,0,6.87,0,18.65,3.93,0,39.27,52.03,0.98,0,3.93,0,0,0,0.98,0,0,405.43,0,1.96,7.85,117.8,0,0,0.98,0,0.98,0.98,0,0,0,0,6.87,0.98,1.96,1.96,0.98,0
 84-94,0,0,0,0,8.5,0,27.61,0,1.06,44.61,45.67,0,0,5.31,0,1.06,0,0,0,0,337.73,0,2.12,4.25,71.16,1.06,2.12,3.19,0,1.06,0,0,0,0,0,9.56,0,4.25,0,0,0
 96-106,0,0,0,0,21.86,2.19,17.49,5.46,3.28,19.67,31.69,1.09,0,6.56,1.09,1.09,0,0,0,2.19,206.55,0,2.19,4.37,74.31,0,2.19,2.19,0,1.09,2.19,0,0,0,0,1.09,2.19,0,2.19,2.19,0
108-118,0,0,0,0,17.62,0,10.72,8.43,0,23.74,45.96,0,0,3.83,0.77,1.53,0.77,0,0,1.53,155.49,0,2.3,10.72,84.26,0,0,3.06,0,0.77,0.77,0,0,0,0,1.53,9.19,0,2.3,0.77,0
120,0,0,0,0,29.4,3.92,21.56,3.92,3.92,33.32,47.03,1.96,0,1.96,1.96,3.92,0,0,0,0,178.34,3.92,5.88,11.76,115.63,0,0,1.96,0,1.96,1.96,0,0,0,0,1.96,7.84,1.96,0,0,0
