stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,13,14,1,0,0,0,0,3,1,7,0,0,0,0,0
 24-34,0,0,0,6.57,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0.82,68.95,30.37,0,0.82,0,0,0,0,0,13.13,0,0,0,0,0
 36-46,0,0,0,12.89,0,0,0,2.42,0,0,0,0,0,0,0,1.61,0,0,0,209.47,16.92,0,0,0,0,0,0,0,22.56,0,0.81,0,0,0
 48-58,0,0.57,0,77.46,0,0,0,2.3,0,0,0,0,0,0,0,3.44,0,0,0,253.05,8.03,1.15,0,0,0,0,0,0,41.31,0,0,0,0,0
 60-70,0,1.96,0,492.72,0,0,0,6.87,0,0,0,0,0,0,0,1.96,0,0,0,495.67,7.85,0,0,0,0,0,0,0,82.45,0,0,0,0,0
 72-82,0.98,5.89,2.94,1187.81,0,0,2.94,19.63,0,0,0,0.98,0.98,0,0.98,22.58,0,0,2.94,415.24,5.89,0.98,1.96,0.98,5.89,0,0,0,49.08,0,1.96,2.94,0.98,0.98
 84-94,0,9.56,0,1064.16,1.06,2.12,1.06,18.05,0,0,1.06,1.06,0,0,0,18.05,0,2.12,4.25,248.52,16.99,1.06,2.12,0,2.12,0,0,0,27.61,0,0,0,0,1.06
 96-106,0,16.39,3.28,911.43,0,2.19,1.09,21.86,1.09,1.09,2.19,0,0,1.09,0,19.67,0,1.09,1.09,185.78,10.93,0,2.19,0,6.56,0,1.09,0,9.84,1.09,1.09,2.19,1.09,1.09
108-118,0,8.43,0.77,660.26,0.77,1.53,0,11.49,1.53,0,0.77,0.77,1.53,0,3.06,9.19,1.53,1.53,0.77,238.98,12.26,0.77,0,0,2.3,0.77,0,0,6.13,0,0,0,4.6,1.53
120,0,13.72,1.96,766.28,1.96,0,0,9.8,3.92,0,1.96,0,0,0,0,9.8,0,3.92,3.92,239.09,7.84,0,3.92,0,0,0,0,0,9.8,0,0,0,1.96,0
