stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,0,3.15,0,0,0,3.15,0,0,0,0,34.62,3.15,0,18.88,0,0,0,3.15,0,0,0,0
 14-21,0,0,4,1,0,0,0,0,0,0,1,0,0,6,2,0,0,0,0,1,0,2,5,0,0
 24-34,0,0,1.64,0,1.64,0,0,0.82,0,0,0,0,0.82,18.88,0,0,0,0,0,0,0,1.64,4.93,1.64,0
 36-46,0,0,0,0,4.83,0,1.61,0,0,0,2.42,0,0,16.92,0.81,0,0,0,0.81,0,0,0,8.06,0,0
 48-58,0,0,1.15,0,4.59,0.57,1.72,0,0,0,1.15,0,0,9.75,0,0.57,0,0,0,0,0,0,2.87,0,0
 60-70,0,0,0,0,6.87,0,0.98,0,0,0,2.94,0,0.98,8.83,0,0,0,0,0,0,0.98,0,0.98,0,0
 72-82,0,0,0,0,5.89,0,2.94,0,0,0,3.93,0.98,0.98,14.72,0,0,0,0,1.96,0,0,0,2.94,1.96,0
 84-94,0,0,0,0,4.25,0,1.06,1.06,1.06,0,7.43,0,2.12,2.12,0,0,0,0,0,0,0,0,1.06,0,1.06
 96-106,0,0,2.19,0,1.09,0,2.19,0,0,1.09,3.28,0,0,8.74,0,0,0,0,0,0,0,0,1.09,4.37,0
108-118,0,0,0,0,0.77,0,2.3,0,0,0,1.53,0,2.3,6.13,0,0,0,0,0,0,0,0,0,0,0
120,0,0,3.92,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,1.96,0,0,0,0,0,0,0
