stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,76.23,2.63,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,868.56,3.15,0,47.2,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,13,1,1,0,0,0,0,0,0,0,0,0,4,0,3,29,0,1,0,0,1,0,0,79,164,5,0,3,0,0
 24-34,0,0,0,4.93,0.82,3.28,0,0,0,0.82,0,0,0.82,0,1.64,7.39,0,4.1,13.13,0.82,0,0,0,0,0.82,0,4.93,59.1,0.82,0,0,0,0
 36-46,0,0,0,0.81,0,2.42,0,0,0,0,0,0.81,2.42,0,0,5.64,0,7.25,6.45,0.81,0.81,0,0,0,0,0,0.81,0.81,3.22,0,0.81,0,0
 48-58,0,0,0,0.57,0,1.72,0,0.57,0,2.3,0,0,0,0,0,7.46,0,10.33,22.38,0,0,0,0,0,0,0,0.57,0,1.15,0.57,0,0,0
 60-70,0,0,0,3.93,0,1.96,1.96,1.96,0,8.83,0.98,0,0,0,0,15.7,0,10.8,28.46,0,0.98,0,1.96,0,0,0,0,0,3.93,0.98,0,0,0
 72-82,0,0,0,0.98,0,7.85,4.91,3.93,0.98,29.45,0,0,5.89,0.98,0.98,46.14,3.93,19.63,31.41,0,3.93,0.98,0,0,0,0,1.96,0,7.85,0.98,0.98,0.98,0
 84-94,0,0,0,5.31,0,3.19,4.25,0,0,23.36,0,0,7.43,0,1.06,40.36,0,18.05,28.68,0,1.06,0,0,1.06,0,0,0,0,1.06,1.06,0,1.06,0
 96-106,0,0,0,3.28,0,3.28,5.46,1.09,0,34.97,0,0,6.56,3.28,1.09,28.41,1.09,12.02,25.14,0,1.09,0,1.09,2.19,0,0,0,0,0,8.74,1.09,0,1.09
108-118,0,0,0,7.66,0,0.77,3.83,3.83,0.77,30.64,0,0,6.89,1.53,0,30.64,3.06,13.79,18.38,0,1.53,0,0,0,0,0,0.77,0,0,6.89,0.77,0.77,0
120,0,0,0,1.96,0,3.92,1.96,1.96,0,31.36,0,0,7.84,0,0,17.64,0,13.72,9.8,0,0,0,0,0,0,0,0,0,0,5.88,1.96,1.96,0
