stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,immune,ionocyte,liver,mesenchyme,mural.cell,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,2.46,0,0,0.82,0,0,0,0,0,2.46,0,0
 36-46,0,0,0,0,0,0,0,3.22,0,0,0,0,0.81,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0.57,5.74,0,0,0,0,1.15,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,0.98,15.7,0,0,0,0,1.96,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,1.96,22.58,0,0,0,0,0.98,0,0,0,0,0,0.98
 84-94,0,0,1.06,0,0,0,1.06,24.43,0,0,1.06,0,0,0,0,0,0,1.06,0
 96-106,0,0,2.19,1.09,0,0,0,56.83,1.09,1.09,1.09,2.19,1.09,1.09,0,2.19,0,0,1.09
108-118,0,0,1.53,0.77,0,1.53,0,33.7,0,0,1.53,0,0,0,0,0,0,0.77,0
120,0,0,1.96,0,1.96,1.96,0,48.99,0,0,1.96,0,1.96,0,0,0,0,0,0
