stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,1,30,1,0,0,1,9,2,40,0,0,0,0
 24-34,0,2.46,0,0,5.75,0,0,13.95,0,0,0,0.82,0,0,0.82,0,0,1.64,123.95,11.49,0.82,3.28,0,0.82,0,29.55,0,0,0,0
 36-46,0,0,0,0,4.83,0.81,0,1.61,0,1.61,0,0,0,0,0,3.22,0,0.81,179.66,11.28,0.81,1.61,0,0,0,27.39,0,0,0,0
 48-58,0,0,0,0,24.67,0.57,0.57,8.03,0,0,0.57,0,0,0,0.57,5.16,0,1.15,174.44,10.33,0.57,1.15,0,0,0,21.8,0,0,0,0.57
 60-70,0,0.98,0,0,33.37,0,0,5.89,0.98,0,0,0,0,0.98,0,1.96,0,0,242.44,8.83,0.98,0,0,0.98,0,26.5,0,0,0,0
 72-82,1.96,0.98,0,0,26.5,0,0.98,9.82,0,0.98,0,0,0,0,2.94,5.89,0,0.98,177.68,28.47,3.93,0.98,0,0,0,14.72,0,0,0,0
 84-94,0,2.12,0,0,18.05,0,0,0,0,0,0,0,0,0,0,5.31,0,0,67.97,12.74,5.31,0,0,0,0,6.37,1.06,0,0,0
 96-106,1.09,1.09,0,1.09,10.93,0,0,1.09,0,0,0,1.09,1.09,1.09,2.19,4.37,0,1.09,55.74,27.32,5.46,0,0,0,0,1.09,0,0,1.09,0
108-118,0.77,2.3,1.53,0,13.02,0.77,0,3.06,3.06,0,0,0,0,0,1.53,3.83,0.77,0.77,106.47,23.74,2.3,0.77,0,0,0,1.53,0,1.53,0,0
120,0,5.88,0,0,13.72,0,0,1.96,0,0,0,0,0,0,0,7.84,0,1.96,90.15,25.48,0,0,0,0,0,3.92,0,0,0,0
