stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,33,0,0,3,0,1,7,2,0,3,14,0,0,0,0,0
 24-34,0,0,0.82,0,0,4.93,0,0,0,0.82,0,0,0.82,0.82,0,9.85,0,0,4.93,0,0,0.82,55,2.46,4.93,4.93,0,0,0,0,0,0,12.31,0,0,0,0,1.64
 36-46,0,0,0.81,0,0,4.83,0,0,0,0,0,0,1.61,0,0,6.45,0,0,7.25,0,0,4.03,71.7,0.81,1.61,1.61,0,0,0,0.81,0.81,0,16.92,0,0,1.61,0.81,0
 48-58,0,0,2.87,0,0,18.36,0.57,0,1.15,3.44,0,0,5.74,0,0,8.03,0,0.57,13.2,0,1.15,9.18,48.77,1.15,1.72,4.02,0,0.57,0,0,0,0,7.46,0,0.57,4.59,0,0
 60-70,0,0,4.91,0,0,25.52,0,0.98,0.98,8.83,0,0,19.63,0,0,10.8,0.98,0,19.63,0,0.98,5.89,65.76,0,0,1.96,0,1.96,0,0,0.98,0,6.87,0.98,0,3.93,0,0
 72-82,1.96,0,11.78,0.98,0,30.43,0,0,0.98,26.5,1.96,0.98,90.31,3.93,0,18.65,0,0.98,76.57,0,0,8.83,59.88,0.98,0.98,7.85,0.98,4.91,0,0,0,0,3.93,0.98,0.98,12.76,3.93,0
 84-94,2.12,0,9.56,0,0,21.24,1.06,2.12,2.12,13.81,3.19,0,117.89,3.19,2.12,22.3,0,0,27.61,2.12,2.12,8.5,42.48,0,3.19,2.12,0,2.12,0,0,0,0,5.31,6.37,1.06,16.99,1.06,0
 96-106,4.37,0,28.41,1.09,0,19.67,0,1.09,1.09,17.49,3.28,2.19,154.09,1.09,0,32.79,3.28,0,38.25,0,1.09,14.21,56.83,2.19,2.19,7.65,0,10.93,0,0,0,0,6.56,22.95,0,16.39,1.09,0
108-118,1.53,0,17.62,3.06,2.3,14.55,0,3.06,0.77,22.98,4.6,0.77,165.45,4.6,1.53,22.21,1.53,0.77,44.43,0.77,1.53,11.49,68.17,0,3.06,2.3,0,4.6,0,0.77,0,0,1.53,24.51,1.53,6.89,0.77,0
120,0,0,29.4,5.88,1.96,11.76,0,1.96,0,31.36,9.8,0,278.29,5.88,0,35.28,1.96,0,62.71,1.96,1.96,17.64,88.19,1.96,5.88,5.88,0,7.84,0,1.96,1.96,0,1.96,31.36,0,23.52,0,0
