stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,32,0,0,0,0,5,0,0,12,0,0,0,0,0
 24-34,0,0,0,0,44.33,0,5.75,0,0.82,0,0,0.82,0.82,0,1.64,0.82,0,1.64,0,0,5.75,0,0,0,197.01,0,0.82,0.82,0,23.8,0,0.82,46.79,0,0,0,0,0
 36-46,0,0,0,0,16.92,0,7.25,0.81,0,0,2.42,0,0,0,0,0,0,2.42,0,0,7.25,0,0,0,607.47,0,0,0,0,24.98,0,0,70.09,0,0,1.61,0,0
 48-58,0,0,0,0,6.89,0,56.81,0,1.15,0.57,16.64,0,0.57,0.57,0.57,0,0.57,2.3,0,0,17.21,0,0,5.16,1102.28,0,0,0,0,21.8,0.57,0,87.79,0,0,2.3,0,3.44
 60-70,0,0,0,0,12.76,0,35.33,0,0.98,0.98,7.85,0,0,0.98,3.93,0,0,1.96,0.98,0,14.72,0,0,1.96,1216.11,0,0,0.98,0,28.46,0,0,71.65,0,0,0,0,3.93
 72-82,0,0,0,0,21.6,1.96,103.07,0,0.98,0.98,22.58,0.98,0,0.98,0.98,0.98,0,2.94,0.98,0,39.27,0,0.98,5.89,1138.73,0,0.98,0.98,0,34.36,0,0,49.08,2.94,0.98,1.96,1.96,3.93
 84-94,0,0,0,0,25.49,1.06,127.44,1.06,1.06,0,24.43,1.06,0,1.06,1.06,2.12,2.12,5.31,0,0,18.05,0,2.12,1.06,612.8,0,0,2.12,0,109.39,1.06,0,40.36,2.12,1.06,4.25,2.12,1.06
 96-106,1.09,0,0,1.09,34.97,4.37,91.8,0,2.19,1.09,18.58,0,0,0,1.09,1.09,1.09,6.56,1.09,1.09,20.76,0,2.19,0,489.6,0,0,0,2.19,79.78,1.09,0,3.28,1.09,2.19,2.19,2.19,1.09
108-118,0,0,0.77,0,21.45,3.06,39.83,0.77,0,0,6.13,1.53,0,0,2.3,6.89,0.77,2.3,0.77,0,10.72,0.77,0.77,3.06,626.56,0.77,1.53,0,0,79.66,0.77,0,6.89,0,0,2.3,0,0
120,0,0,0,0,29.4,0,64.67,0,0,1.96,9.8,0,0,0,0,0,0,1.96,1.96,0,21.56,0,0,0,562.46,1.96,1.96,1.96,0,60.75,1.96,0,1.96,0,1.96,1.96,0,1.96
