stage,epidermis,eye,fin_mesenchyme,glial,melanocytes,mesenchyme,neural,otic,periderm,somites,spinal_cord,vasculature
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,2,0,0
 24-34,0,0.82,0,0,0,1.64,4.1,0,0,0,0.82,0
 36-46,0,0.81,0,0,0.81,0,3.22,0,0.81,0,1.61,0
 48-58,0,0.57,0,0.57,0,0,2.87,0,0,0,0,0
 60-70,0,2.94,0,0,0,0,2.94,0.98,0,0,0,0.98
 72-82,0,0.98,0.98,0,0,0,1.96,0,0,0,0,0
 84-94,0,1.06,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,1.09,0,0,0,0,3.28,0,0,0,0,0
108-118,0,1.53,0,0,0,0,0,0,0,0,0,0
120,1.96,0,0,0,0,0,0,0,0,0,0,0
