stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,144.96,1726.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0
  5-6,104.2,1894.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,6.13,0,0,24.52,0,30.65,0,0,0,0,0,0,0,0
  7-9,10.51,47.32,68.35,0,0,152.47,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,1251.27,26.29,0,0,423.22,0,0,10.51,0,0,0,0,0,0,0
 10-12,0,40.91,53.5,0,0,100.7,0,0,0,0,12.59,0,0,0,0,0,3.15,0,0,0,985,12.59,0,0,409.11,0,0,3.15,0,34.62,0,3.15,0,0,0
 14-21,0,0,5,16,6,15,0,0,7,1,0,0,0,1,0,0,0,24,0,10,280,5,1,2,9,0,6,0,23,0,14,74,0,0,2
 24-34,0.82,0,0.82,12.31,4.1,49.25,0,0,5.75,0,0,0.82,0.82,0,0,0,0,47.61,0,10.67,329.98,1.64,0.82,0.82,0,0,8.21,0,0,0,0,66.49,0,0,6.57
 36-46,0,0,0.81,5.64,0,96.68,0,0,8.86,0,0,0,0.81,0,0.81,0,0.81,41.09,4.03,8.86,219.95,0,0,3.22,0,0,4.03,0,0,0,0,58.81,0,0,0.81
 48-58,0,0,0,3.44,0.57,75.17,0.57,0.57,10.33,0.57,0,0.57,1.72,0,0.57,0.57,1.15,31.56,0.57,6.31,63.12,0,0,1.72,0,0,1.15,0,0,0,0,8.03,0,0,0
 60-70,0,0,0,5.89,0.98,23.56,0,0.98,6.87,0,0,0,1.96,0,0,0.98,1.96,17.67,0,0.98,26.5,0,0,0,0,0.98,0.98,0,0,0.98,0,2.94,0,0,0.98
 72-82,0,0,0,1.96,0,8.83,0.98,0.98,5.89,0.98,0,0.98,2.94,0.98,0,0,0.98,15.71,0.98,2.94,15.71,0.98,1.96,0,0,0,1.96,0,0,0,0,0,0,0,1.96
 84-94,0,0,0,5.31,1.06,18.05,0,0,6.37,1.06,0,0,0,1.06,0,0,0,13.81,1.06,4.25,13.81,1.06,0,3.19,0,0,1.06,0,0,0,0,0,0,0,2.12
 96-106,0,0,0,0,0,5.46,0,0,6.56,2.19,0,2.19,3.28,2.19,0,1.09,1.09,9.84,0,0,10.93,0,1.09,1.09,0,0,0,0,0,0,0,2.19,0,0,2.19
108-118,0,0,0,4.6,1.53,11.49,0,1.53,9.19,0.77,0,0,1.53,0,0,0.77,0,9.19,0,4.6,16.09,0,0,3.83,0,0,1.53,0,0,0,0,0.77,0.77,0.77,1.53
120,0,0,0,3.92,5.88,9.8,0,0,19.6,0,0,1.96,7.84,0,1.96,0,0,7.84,0,3.92,21.56,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,3.92
