stage,blastomeres,erythrocytes,exocrine.pancreas,eye,heart,mucous,notochord,paraxial.mesoderm,periderm,pronephros,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,8.21
 36-46,0,0,0,0,0,0,0,0,0,0,1.61
 48-58,0,0,0,0,0.57,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0.98,0,0,0.98,0.98
 72-82,0,0,0,0,0,0,0,0,0,0,4.91
 84-94,0,0,0,0,0,0,0,0,1.06,0,2.12
 96-106,0,0,0,0,0,1.09,0,0,1.09,0,5.46
108-118,0,0,0.77,0.77,0,0,0.77,0,0,0,0.77
120,0,0,0,0,0,0,0,0,1.96,0,1.96
