stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,1,2,16,4,2,0,0,4,1,0,0,0,0,0,0,0,9,0,0,4,72,1,1,0,1,1,1,12,1,1,6,24,0,1,0
 24-34,0,0,0.82,0,0.82,0.82,9.03,2.46,0.82,0,0,0,0,0,0,0,0,0,9.85,0,0,3.28,69.77,0,0,2.46,0,0.82,0,0,0,0,0.82,14.78,0,1.64,0
 36-46,0,0,0,0,0.81,0,5.64,0,0,3.22,0,0,0,0,0,0,0.81,0,7.25,0.81,0,0.81,35.45,0,1.61,0,0,0.81,0,0,0,0,0,4.83,0,0,0
 48-58,0,0,0,0,0,0,11.48,0,0.57,1.15,0,0,0,0,0,0,0,0,6.89,0,0,0,16.07,0,0,0.57,0,0.57,0,0,0,0,0,4.02,0,0,0
 60-70,0,0,0,0,1.96,0,7.85,0,0.98,2.94,0,0,0,0,0,0,0,0,7.85,0,0,0.98,9.82,0,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0
 72-82,0,0,0,0,0.98,0,0.98,0,0,3.93,0,0,0,0,0,0,0,0,3.93,0,0,1.96,11.78,0,0,0,0,0.98,0,0,0,0,0,1.96,0,0.98,0
 84-94,0,0,0,0,1.06,0,5.31,0,0,0,0,0,1.06,0,1.06,0,0,0,3.19,0,1.06,0,5.31,0,0,0,0,0,0,0,0,0,0,2.12,0,1.06,0
 96-106,0,0,0,0,1.09,0,1.09,0,0,1.09,0,0,0,1.09,0,0,1.09,0,2.19,0,0,1.09,1.09,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,3.06,0,0,0,0,0,0,0.77,0,0,0,0.77,3.83,0,0,0,3.83,0,0,1.53,0,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,0,0,0,5.88,0,0,5.88,0,0,0,0,0,1.96,0,0,5.88,0,0,1.96,5.88,1.96,0,1.96,0,1.96,0,0,0,0,0,1.96,0,0,1.96
