stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,heart,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,5.26,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,55,0,1,1,1,0,0,0,0,0
 24-34,0,5.75,0,0,5.75,0,0,0,0,0.82,0,0,1.64,0.82,0,0.82,5.75,0,2.46,0,123.13,1.64,0,0,2.46,0,0,0,0,0
 36-46,0,0,0,0,8.06,0.81,0.81,0,0,0,0,0,0,0,0,0.81,4.03,0,4.03,0,54.79,0,0,0,1.61,0,0,0.81,0,0
 48-58,0,0,0,0,7.46,0.57,0,0,0,0,0,0,0,0,0,0,4.02,0,1.15,0,16.64,0,0,0,1.15,0,0,0,0,0
 60-70,0,0,0,0,167.84,0,0,0,0,0,0,0,1.96,0.98,0,0,5.89,0,0,0,12.76,0.98,0,0,0.98,0,0,0.98,0,0
 72-82,0,0.98,0.98,0,497.7,0,0,3.93,0,0,0,0,6.87,0,0,0,5.89,0,0.98,0,6.87,0,0,0,0,0.98,0,0,0,0
 84-94,0,4.25,1.06,0,517.21,1.06,0,3.19,0,1.06,0,1.06,2.12,1.06,0,0,3.19,0,1.06,0,20.18,0,0,0,0,0,0,1.06,0,0
 96-106,0,2.19,1.09,0,384.68,0,0,2.19,0,0,1.09,0,1.09,0,1.09,0,12.02,1.09,1.09,0,9.84,0,0,0,1.09,1.09,0,1.09,0,0
108-118,0,4.6,0,0,273.45,0,0,1.53,0.77,0.77,0,0,1.53,0,0,0,3.06,0,3.06,0,3.06,0.77,1.53,0,0.77,0,0.77,0,0,0.77
120,0,0,0,1.96,241.05,0,0,0,0,0,0,0,0,0,0,1.96,7.84,0,0,0,9.8,0,0,0,0,0,0,0,1.96,0
