stage,epidermis,eye,fast_muscle,fin_epithelia,glial,lateral_line,melanocytes,mesenchyme,neural,otic,spinal_cord
 14-21,1,0,0,0,0,0,0,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0.82,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,1.72,0,0,0,0,0,0,0.57,0,1.15
 60-70,0,19.63,0,0,0,0,0,0,1.96,0,0
 72-82,0,52.03,0,0,0,0,0.98,1.96,2.94,0,0
 84-94,0,56.29,0,0,0,0,0,1.06,2.12,1.06,0
 96-106,3.28,78.68,1.09,0,1.09,1.09,0,1.09,3.28,0,0
108-118,0,59.75,0,0,0.77,0,0,0,6.13,0,0
120,1.96,70.55,0,1.96,0,0,0,0,3.92,0,0
