stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9,0,1,0,0,2,2,3,0,0
 24-34,0,0,0,0.82,0,0,0,0.82,0,0,0,0,0,2.46,0,2.46,7.39,0,0,0,0,0,0,2.46,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0,1.61,0,0,7.25,0.81,0,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,0,1.15,0.57,2.3,0,0,0,0,0,4.59,0,1.15,1.72,0,0,0,0,0,0,1.72,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0,0,6.87,0,0,3.93,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0.98,0,1.96,0.98,2.94,0,0,0,0,0,7.85,0,1.96,5.89,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,1.06,1.06,2.12,0,0,1.06,0,0,8.5,1.06,4.25,4.25,1.06,0,0,0,0,0,0,0,1.06
 96-106,1.09,0,0,0,0,3.28,0,1.09,1.09,0,0,1.09,0,16.39,2.19,0,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0.77,0,0.77,0,0.77,0,1.53,0,0,0.77,10.72,0,1.53,4.6,0,0,0,0,0,0,0,0.77,0
120,0,0,0,1.96,1.96,0,0,1.96,0,0,0,0,0,1.96,0,1.96,0,0,3.92,0,0,0,0,0,0,0
