stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,4,0,3,0
 24-34,0,0.82,0.82,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0.82,0,61.56,0,0,0,0,0,21.34,0,15.6,0
 36-46,0,0,0,1.61,0.81,0,0,3.22,0,0,0,0,0,0,0,0,0.81,0.81,0,0,0,138.58,0,0,0,0,0,26.59,0,1.61,0
 48-58,0,0.57,0,10.9,0.57,0,0,10.9,0.57,0,0,1.15,0,0.57,0,0,0,1.72,0,0,0.57,229.52,0.57,0,0,0,0,30.99,0,2.3,0
 60-70,0,0.98,0.98,52.02,0,0,0,10.8,0,0,0,0,0,9.82,0.98,0,0,5.89,2.94,0,0,356.29,0.98,0,0,0,0,22.58,0,0.98,0
 72-82,0,0.98,0.98,74.61,0,0.98,0,17.67,0.98,0,0,0,0,16.69,0.98,0,0.98,6.87,0,0,0,406.41,0.98,0.98,0,0,0,17.67,0.98,2.94,0
 84-94,0,3.19,1.06,46.73,0,0,0,11.68,0,0,0,0,1.06,5.31,1.06,0,1.06,1.06,0,0,0,168.86,1.06,1.06,0,1.06,0,11.68,0,1.06,0
 96-106,0,1.09,0,52.46,0,0,1.09,24.04,0,0,0,1.09,2.19,1.09,1.09,0,0,0,0,1.09,0,201.08,0,2.19,0,0,0,5.46,0,0,1.09
108-118,0,1.53,0.77,32.94,0,0,0.77,13.02,0.77,0,0,0,0,3.06,0,0.77,0,8.43,0,0,0,187.66,0.77,0.77,0,0,0,5.36,0,3.06,0
120,0,1.96,1.96,23.52,0,0,0,21.56,0,0,0,1.96,0,0,0,0,0,3.92,1.96,0,0,176.38,0,0,0,0,0,1.96,0,0,0
