stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,5.26,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,141.95,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,12.59,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,6.29,0,176.23,0,0,18.88,0,6.29,0,0,0,0
 14-21,0,1,0,1,38,1,0,0,0,0,0,0,0,6,0,0,1,1,0,3,0,39,0,1,30,1,0,4,0
 24-34,0,0,0,0.82,4.93,7.39,0,4.93,0,0,0,0,0,9.85,0,0,12.31,4.93,1.64,0,0,0,0,0,29.55,1.64,0,2.46,0
 36-46,0,0,0,0,0,7.25,0.81,5.64,0,0,0,0,0,8.06,0,0,6.45,1.61,0,0,0,0,0,0,0,2.42,0,0,0
 48-58,0,0,0,0.57,0,28.12,0,0.57,0,0,0,0,0,10.33,0,0,2.87,5.74,0,0,0,0,0,0,0,4.02,0,0,0
 60-70,0,0,0,0,0,95.21,0.98,2.94,0,0,0,0,0,8.83,0,0.98,0.98,4.91,0,0,0.98,0,0,0,0,4.91,0,0,0
 72-82,0,0,0,0,0,121.73,1.96,6.87,0.98,0.98,0,0,0,8.83,0,0,1.96,1.96,0,0,0,0,0,0,0,1.96,0,0,1.96
 84-94,0,0,0,2.12,0,141.25,0,3.19,1.06,0,0,1.06,0,8.5,0,0,2.12,4.25,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,4.37,0,109.28,2.19,1.09,0,0,1.09,0,0,3.28,0,0,1.09,6.56,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,104.94,0.77,0.77,2.3,0,0,0,0.77,4.6,0,0,0,2.3,0,0,0.77,0,0,0,0,0,0,0.77,0
120,0,0,0,1.96,0,125.43,5.88,1.96,0,0,1.96,0,0,0,1.96,0,1.96,3.92,0,0,0,0,0,0,0,0,0,0,0
