stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
 24-34,0,0,0.82,0,1.64,0,0,0,0,0,0,0,0,0,0,2.46,8.21,0.82,0.82,0,0,0,0.82,8.21,3.28,0.82,0,0,0
 36-46,0,0,0,0,0.81,4.83,0,0,0,0,0,0,0,0.81,0,0.81,4.83,0,0,0,0,0,0.81,8.06,0,3.22,0,0,0
 48-58,0,0,0.57,0,2.87,5.16,0,0,0,0,0,0,0,1.72,0,2.3,7.46,0,0,0.57,0,0,0.57,14.35,0,1.15,1.15,0,0
 60-70,0,0,0,0,1.96,6.87,0,1.96,0,0,0,0,0,0,0,4.91,5.89,0,0,0,0,0,0.98,8.83,0,3.93,0,0,0
 72-82,0,0,0,0,4.91,3.93,0,0.98,0,0,0,0,0,2.94,0,1.96,13.74,0,0,0,0,0,0,6.87,0,2.94,0,0,0
 84-94,0,0,0,0,6.37,9.56,0,1.06,0,0,1.06,1.06,0,1.06,1.06,1.06,10.62,0,0,0,0,0,0,8.5,0,1.06,1.06,0,1.06
 96-106,0,1.09,0,0,4.37,9.84,1.09,0,1.09,1.09,0,0,0,2.19,0,1.09,17.49,0,1.09,0,0,0,0,6.56,0,0,0,2.19,0
108-118,0,0,0,0,3.06,14.55,0,0.77,0,0.77,0,3.06,0.77,0,0,6.13,11.49,0,0,0,0,0,0,13.02,0,1.53,0.77,0,0.77
120,0,5.88,0,1.96,1.96,15.68,0,0,0,0,0,0,0,3.92,0,3.92,11.76,0,0,0,0,1.96,1.96,3.92,0,0,0,0,0
