stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,21.03,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,12.59,3.15,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,2.46,0.82,0.82,0,0,0,0,0,4.93,0,0,0,0,0,0.82,0,0.82,2.46,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,1.61,0.81,0,0,2.42,0,0.81,0,20.14,0,0,0,0,0,4.03,0,0.81,2.42,0.81,0,0,0,2.42,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.15,0,0,0,35.58,0,0,0,0,0,0.57,1.15,0,4.59,0,0,0,0,0,0,1.72,0,0,0,0
 60-70,0,0,2.94,0,0,0,3.93,0.98,0,2.94,69.69,0,0,0,0,0,2.94,1.96,0,12.76,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,35.34,0,0.98,0,9.82,0,0,0.98,177.68,0,0,0,0.98,0,0,4.91,0,20.61,0,0,0,0,0,0,1.96,0,0,0,0
 84-94,0,0,25.49,0,3.19,0,5.31,1.06,0,0,317.55,0,1.06,0,0,1.06,1.06,2.12,1.06,11.68,0,1.06,0,0,0,0,1.06,0,2.12,2.12,0
 96-106,0,0,22.95,0,3.28,0,2.19,0,0,2.19,307.09,0,1.09,0,1.09,0,3.28,2.19,0,33.88,0,0,0,0,1.09,0,1.09,0,1.09,0,1.09
108-118,0,0,8.43,0,0,1.53,2.3,0.77,0.77,0.77,219.07,0,0,0.77,0.77,0,1.53,0.77,0,23.74,0.77,0,0,0,2.3,0,0,0.77,0.77,0,0
120,0,0,9.8,0,1.96,0,7.84,0,0,0,205.78,0,0,0,0,0,1.96,3.92,0,23.52,0,0,0,1.96,0,0,0,0,0,0,0
