stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,melanocytes,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,210.85,3505.33,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0
  5-6,220.67,2562.19,0,0,0,0,0,0,0,73.56,12.26,30.65,42.91,0,0,0,0,0
  7-9,23.66,28.92,76.23,0,94.63,0,52.57,0,0,893.76,36.8,365.39,5.26,15.77,0,0,0,0
 10-12,0,34.62,56.65,0,69.23,0,18.88,0,0,616.81,31.47,276.93,6.29,9.44,6.29,25.18,3.15,3.15
 14-21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,3
 24-34,0,0,0,0,0.82,0,0,0,0,2.46,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0.57,1.15,0,0,0,0,0.57,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,1.09,1.09,0,0,0,0,0,0,0,0,0,0,0,0
