stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,250.38,3294.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.31,0,0,0,0,0,0,0,0,0,0
  5-6,275.83,2212.8,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,73.56,6.13,0,0,36.78,0,55.17,0,0,0,0,0,0,0,0,0,0
  7-9,63.09,73.6,0,113.03,0,0,207.67,0,0,0,0,115.66,0,0,0,0,0,0,0,0,0,0,0,1900.56,52.57,0,0,725.52,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,3.15,59.79,0,116.44,0,18.88,151.05,0,0,0,0,47.2,0,0,0,0,0,0,0,0,0,0,0,1570.34,28.32,0,0,597.92,0,9.44,9.44,9.44,75.53,0,0,0,0,0,0,0
 14-21,0,0,1,9,136,34,83,0,0,17,3,6,1,1,5,0,0,0,1,54,1,0,40,944,14,6,7,26,0,14,0,118,9,5,101,269,0,6,0,3
 24-34,0,0,0,1.64,37.76,8.21,261.85,0,0,32.01,0.82,0,0.82,3.28,7.39,0,0.82,1.64,0,141.19,2.46,0.82,38.58,1573.58,4.1,12.31,12.31,0,0,25.45,0,0,0.82,0.82,5.75,334.91,0,17.24,0,3.28
 36-46,0,0,0,0,23.36,4.83,752.5,2.42,1.61,28.2,0,0,0.81,2.42,0.81,0.81,0.81,3.22,0.81,126.49,0.81,3.22,39.48,1280.21,4.03,6.45,6.45,0,0,21.75,0,0.81,2.42,0,0,290.04,0,8.86,0,1.61
 48-58,0,0,0,0,9.18,4.59,677.66,1.15,1.15,25.82,2.3,0,0.57,2.3,1.15,3.44,1.15,0.57,0,118.2,0,4.02,20.66,530.77,1.15,1.15,2.87,0,0,5.74,0,0,1.15,0.57,0,88.37,0,6.31,0,1.15
 60-70,0,0,0,0,25.52,0.98,547.69,1.96,0,29.45,3.93,0,0,2.94,0,0,3.93,0.98,0,100.12,1.96,6.87,11.78,322.92,0,2.94,3.93,0,0,5.89,0,0,0,0,0,17.67,0,7.85,1.96,0.98
 72-82,0,0,0,0,12.76,0.98,187.5,0,1.96,39.27,2.94,0,1.96,3.93,1.96,1.96,0.98,0,0,79.51,0.98,5.89,19.63,171.79,0.98,0.98,1.96,0,2.94,1.96,0,0,0.98,0,0,3.93,0,3.93,1.96,0
 84-94,0,0,0,0,14.87,5.31,173.11,0,1.06,20.18,11.68,0,0,7.43,5.31,1.06,1.06,0,0,83.9,0,8.5,15.93,142.31,2.12,3.19,4.25,0,0,2.12,0,0,1.06,0,0,6.37,1.06,7.43,0,0
 96-106,0,0,0,0,7.65,2.19,95.08,1.09,0,16.39,4.37,0,0,4.37,1.09,2.19,0,1.09,0,43.71,0,1.09,6.56,103.82,1.09,2.19,1.09,0,0,2.19,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,6.89,3.83,75.06,0.77,0,13.02,2.3,0,0,4.6,0.77,0,0.77,1.53,0,23.74,0,2.3,6.89,119.49,0.77,0,2.3,0,0.77,2.3,0,0,0,0.77,0,1.53,0.77,5.36,0,0
120,0,0,0,0,11.76,9.8,133.27,0,3.92,25.48,0,0,0,11.76,5.88,1.96,0,1.96,0,29.4,0,0,9.8,211.66,1.96,3.92,1.96,0,0,5.88,0,0,0,0,0,0,0,1.96,0,0
