stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0,0,0,8.21,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,8.86,0,0,0,0,0,12.09,0,0,0,1.61,1.61,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,13.2,0.57,0,0,0,0,27.54,0,0,0,2.87,0.57,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,3.93,0,0,0,9.82,0,0,0,0.98,0,51.04,0,0,0,3.93,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,2.94,0,0.98,1.96,2.94,0,0,0,0,0,137.43,2.94,0,1.96,15.71,0,0,0,0,0,0,0.98,0.98,0.98,0,0,0
 84-94,0,1.06,0,1.06,1.06,0,4.25,0,1.06,1.06,8.5,0,0,0,0,0,447.12,1.06,0,0,19.12,0,0,1.06,0,1.06,0,1.06,0,0,1.06,0,0
 96-106,0,0,0,2.19,0,1.09,5.46,0,1.09,0,9.84,0,1.09,1.09,0,0,583.58,3.28,1.09,1.09,51.36,0,0,0,1.09,4.37,0,1.09,0,0,1.09,1.09,1.09
108-118,0,0,0,0,0.77,0,4.6,0.77,0.77,3.06,9.96,0,0.77,0.77,0,0.77,1026.39,5.36,0,0,38.3,0,0,0.77,0,3.06,0.77,2.3,0,0,0.77,0.77,0
120,0,1.96,0,0,0,0,3.92,0,0,1.96,13.72,0,0,0,0,0,470.35,1.96,0,0,19.6,0,1.96,0,0,1.96,0,0,0,0,0,0,0
