stage,blastomeres,epidermis,fast.muscle,fin.epithelia,glial,mesenchyme,mucous,muscle,neural,periderm,somites,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.64,4.93,0,0
 36-46,0,0,0,0,0,0.81,0.81,0,0.81,4.03,0.81,0.81
 48-58,0,0,0,0,0,0,0,0,1.15,5.74,0,0.57
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,1.96,0,0.98,0.98,2.94,0,0
 84-94,0,0,1.06,0,0,0,0,0,0,4.25,0,0
 96-106,0,1.09,1.09,1.09,1.09,1.09,0,0,2.19,14.21,0,0
108-118,0,0,0,0,0,0,0,0,0.77,0.77,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0
