stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,22.03,0,0,0,0,0,15.73,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,1,0,0,0,0,0,2,0,0,2,0,2,5,0,0,0,0,0,1,8,2,1,0,0,0,0
 24-34,0,0,2.46,0,0.82,1.64,0,0,0,0.82,1.64,0,0.82,0,0.82,30.37,0,0,4.93,0,0.82,0,21.34,0.82,5.75,0,0,0,0
 36-46,0,0,0.81,0,0,3.22,0,0.81,0,0,0.81,0,4.83,0,0.81,42.7,0,0,0,0,0,0,19.34,0,3.22,0,0,0,0
 48-58,0,0,0,0.57,10.33,1.15,0,0,1.15,0,0.57,0,18.36,0,0,103.28,0,0,1.72,0,0.57,0,36.72,0,5.16,0,0,0,0
 60-70,0,0,2.94,0,41.22,3.93,0.98,0,3.93,0,1.96,0,34.35,0,0,211.03,0.98,0,1.96,0,0,0,11.78,0,15.7,0,0,0,0
 72-82,0,0,0.98,2.94,45.16,1.96,0,0,0.98,0,1.96,0,82.46,0.98,0.98,155.1,0,1.96,9.82,0,0.98,0,6.87,0,8.83,0,0,0.98,0
 84-94,0,2.12,2.12,1.06,15.93,2.12,0,1.06,2.12,0,1.06,0,39.3,3.19,2.12,67.97,2.12,0,12.74,0,1.06,0,16.99,0,8.5,0,0,0,0
 96-106,0,2.19,1.09,2.19,21.86,1.09,0,0,1.09,0,4.37,1.09,37.16,0,1.09,59.01,0,0,18.58,0,0,0,14.21,0,1.09,1.09,1.09,0,0
108-118,0,0,1.53,0.77,5.36,1.53,0,0,3.83,0,2.3,0,29.11,3.83,1.53,48.26,0.77,1.53,14.55,0,0.77,0,14.55,0,0.77,0,1.53,0,0.77
120,0,0,0,1.96,25.48,3.92,0,0,1.96,0,1.96,0,19.6,1.96,0,66.63,1.96,1.96,11.76,0,0,0,5.88,0,0,0,0,0,0
